0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
Alluri Sitharama Raju,16.49%,29.93%,53.58%,44.03%,45.12%,10.85%,34.06%,34.27%,31.67%,66.59%,33.41%,0.43%,99.57%,57.48%,25.81%,16.70%
NTR,0.63%,19.05%,80.32%,35.19%,46.67%,18.13%,87.27%,6.86%,5.87%,44.47%,55.53%,16.67%,83.33%,2.73%,30.98%,66.29%
Anakapalli,19.72%,23.45%,56.83%,46.42%,46.85%,6.73%,88.33%,7.41%,4.26%,45.72%,54.28%,8.31%,91.69%,5.78%,27.60%,66.61%
Annamayya,0.00%,8.75%,91.25%,16.86%,70.14%,13.00%,81.60%,13.38%,5.02%,4.89%,95.11%,5.53%,94.47%,2.06%,28.19%,69.76%
CHITTOOR,2.89%,26.02%,71.09%,16.95%,63.81%,19.24%,60.62%,23.33%,16.05%,31.41%,68.59%,2.89%,97.11%,20.42%,42.84%,36.74%
SRIKAKULAM,0.13%,9.66%,90.21%,1.48%,47.72%,50.80%,87.62%,9.98%,2.40%,90.47%,9.53%,21.93%,78.07%,40.59%,43.74%,15.67%
Nandyal,0.17%,25.92%,73.91%,2.00%,95.17%,2.83%,88.67%,9.17%,2.17%,48.00%,52.00%,17.33%,82.67%,0.33%,12.04%,87.63%
VIZIANAGARAM,0.00%,12.06%,87.94%,11.13%,80.29%,8.58%,61.53%,32.04%,6.43%,28.15%,71.85%,13.54%,86.46%,8.85%,54.02%,37.13%
VISAKHAPATANAM,6.63%,32.63%,60.74%,57.82%,36.87%,5.31%,13.79%,49.87%,36.34%,28.38%,71.62%,9.02%,90.98%,10.34%,30.50%,59.15%
GUNTUR,0.30%,25.18%,74.52%,45.18%,45.56%,9.26%,92.12%,3.86%,4.02%,58.24%,41.76%,16.59%,83.41%,0.65%,22.21%,77.14%
Eluru,0.22%,12.25%,87.53%,50.54%,35.69%,13.77%,68.90%,17.61%,13.49%,29.00%,71.00%,13.54%,86.46%,26.09%,55.60%,18.31%
KURNOOL,0.21%,4.77%,95.03%,1.97%,64.25%,33.78%,89.33%,8.60%,2.07%,7.05%,92.95%,31.92%,68.08%,0.83%,14.61%,84.56%
Parvathipuram Manyam,1.67%,33.11%,65.22%,60.20%,11.04%,28.76%,66.56%,19.06%,14.38%,55.18%,44.82%,0.67%,99.33%,37.46%,28.76%,33.78%
Tirupati,0.08%,17.72%,82.20%,21.37%,65.42%,13.21%,66.88%,26.07%,7.04%,27.48%,72.52%,7.07%,92.93%,19.79%,33.71%,46.50%
Kakinada,5.08%,27.02%,67.90%,26.90%,43.17%,29.93%,32.97%,23.03%,44.00%,65.16%,34.84%,34.54%,65.46%,16.86%,47.91%,35.23%
WEST GODAVARI,0.21%,46.25%,53.54%,14.68%,64.20%,21.12%,40.65%,17.53%,41.82%,78.56%,21.44%,52.90%,47.10%,41.92%,43.19%,14.89%
Y.S.R.,0.28%,8.73%,90.99%,19.81%,68.26%,11.92%,88.36%,6.20%,5.45%,2.94%,97.06%,2.44%,97.56%,0.09%,3.66%,96.24%
Konaseema,45.62%,28.23%,26.15%,23.74%,58.53%,17.72%,2.41%,34.03%,63.57%,83.57%,16.43%,66.41%,33.59%,20.35%,61.27%,18.38%
KRISHNA,0.10%,30.10%,69.80%,0.10%,63.10%,36.80%,11.10%,16.50%,72.40%,68.80%,31.20%,73.10%,26.90%,5.40%,70.50%,24.10%
ANANTAPUR,0.05%,4.42%,95.53%,16.00%,83.15%,0.85%,91.20%,8.09%,0.71%,11.02%,88.98%,27.86%,72.14%,1.04%,24.28%,74.68%
SPSR NELLORE,0.00%,1.46%,98.54%,19.12%,58.93%,21.94%,33.35%,40.45%,26.21%,50.09%,49.91%,47.71%,52.29%,7.07%,21.26%,71.67%
Bapatla,0.21%,13.02%,86.78%,0.14%,23.40%,76.45%,87.41%,11.44%,1.16%,16.44%,83.56%,34.24%,65.76%,6.31%,39.06%,54.63%
PRAKASAM,0.32%,3.98%,95.71%,45.91%,48.22%,5.87%,92.73%,5.78%,1.49%,79.87%,20.13%,18.95%,81.05%,1.81%,8.76%,89.43%
Palnadu,4.49%,25.74%,69.77%,37.17%,58.36%,4.47%,84.25%,7.85%,7.90%,13.68%,86.32%,15.00%,85.00%,0.12%,11.56%,88.32%
EAST GODAVARI,0.90%,93.91%,5.19%,0.14%,99.79%,0.07%,95.85%,3.80%,0.35%,98.69%,1.31%,66.32%,33.68%,11.76%,77.87%,10.37%
Sri Sathya Sai,0.00%,5.14%,94.86%,69.06%,30.94%,0.00%,76.22%,23.66%,0.12%,5.26%,94.74%,28.43%,71.57%,0.12%,46.41%,53.47%
