0,1,2,3,4,5,6,7,8,9,10,11,12,13
Alluri Sitharama Raju,98.70%,1.30%,67.25%,32.75%,undefined%,undefined%,undefined%,94.79%,5.21%,49.89%,50.11%,93.89%,6.11%
NTR,99.57%,0.43%,93.70%,6.30%,undefined%,undefined%,undefined%,83.33%,16.67%,78.45%,21.55%,94.90%,5.10%
Anakapalli,98.63%,1.37%,99.58%,0.42%,undefined%,undefined%,undefined%,93.06%,6.94%,91.84%,8.16%,97.04%,2.96%
Annamayya,85.49%,14.51%,74.96%,25.04%,undefined%,undefined%,undefined%,70.06%,29.94%,60.00%,40.00%,91.97%,8.03%
CHITTOOR,98.31%,1.69%,99.90%,0.10%,undefined%,undefined%,undefined%,62.51%,37.49%,73.88%,26.12%,93.69%,6.31%
SRIKAKULAM,99.70%,0.30%,99.61%,0.39%,undefined%,undefined%,undefined%,87.06%,12.94%,82.46%,17.54%,97.83%,2.17%
Nandyal,99.83%,0.17%,100.00%,0.00%,undefined%,undefined%,undefined%,66.83%,33.17%,37.23%,62.77%,87.17%,12.83%
VIZIANAGARAM,93.56%,6.44%,96.25%,3.75%,undefined%,undefined%,undefined%,86.16%,13.84%,46.97%,53.03%,91.82%,8.18%
VISAKHAPATANAM,92.29%,7.71%,58.36%,41.64%,undefined%,undefined%,undefined%,70.74%,29.26%,81.70%,18.30%,95.76%,4.24%
GUNTUR,99.01%,0.99%,99.97%,0.03%,undefined%,undefined%,undefined%,64.81%,35.19%,73.08%,26.92%,89.32%,10.68%
Eluru,98.02%,1.98%,96.04%,3.96%,undefined%,undefined%,undefined%,79.41%,20.59%,58.34%,41.66%,89.98%,10.02%
KURNOOL,94.51%,5.49%,93.06%,6.94%,undefined%,undefined%,undefined%,22.90%,77.10%,89.11%,10.89%,98.65%,1.35%
Parvathipuram Manyam,97.66%,2.34%,25.08%,74.92%,undefined%,undefined%,undefined%,90.64%,9.36%,54.18%,45.82%,89.26%,10.74%
Tirupati,96.37%,3.63%,99.81%,0.19%,undefined%,undefined%,undefined%,67.52%,32.48%,69.44%,30.56%,86.10%,13.90%
Kakinada,94.49%,5.51%,18.88%,81.12%,undefined%,undefined%,undefined%,78.36%,21.64%,59.32%,40.68%,90.38%,9.62%
WEST GODAVARI,97.57%,2.43%,99.89%,0.11%,undefined%,undefined%,undefined%,92.08%,7.92%,74.34%,25.66%,98.52%,1.48%
Y.S.R.,87.82%,12.18%,70.72%,29.28%,undefined%,undefined%,undefined%,47.84%,52.16%,48.44%,51.56%,86.20%,13.80%
Konaseema,99.12%,0.88%,24.16%,75.84%,undefined%,undefined%,undefined%,86.67%,13.33%,82.12%,17.88%,97.24%,2.76%
KRISHNA,98.00%,2.00%,100.00%,0.00%,undefined%,undefined%,undefined%,48.60%,51.40%,48.37%,51.63%,85.35%,14.65%
ANANTAPUR,99.58%,0.42%,94.87%,5.13%,undefined%,undefined%,undefined%,73.45%,26.55%,75.74%,24.26%,98.08%,1.92%
SPSR NELLORE,81.11%,18.89%,59.41%,40.59%,undefined%,undefined%,undefined%,74.34%,25.66%,21.62%,78.38%,88.90%,11.10%
Bapatla,94.61%,5.39%,91.81%,8.19%,undefined%,undefined%,undefined%,38.76%,61.24%,48.00%,52.00%,72.77%,27.23%
PRAKASAM,96.46%,3.54%,95.17%,4.83%,undefined%,undefined%,undefined%,41.06%,58.94%,73.86%,26.14%,90.71%,9.29%
Palnadu,98.65%,1.35%,99.77%,0.23%,undefined%,undefined%,undefined%,88.31%,11.69%,76.75%,23.25%,94.76%,5.24%
EAST GODAVARI,97.10%,2.90%,99.93%,0.07%,undefined%,undefined%,undefined%,97.72%,2.28%,92.67%,7.33%,97.99%,2.01%
Sri Sathya Sai,99.52%,0.48%,97.37%,2.63%,undefined%,undefined%,undefined%,93.43%,6.57%,58.90%,41.10%,98.54%,1.46%
