0,1,2,3,4,5,6,7,8,9,10,11,12,13
NAMSAI,100.00%,0.00%,75.69%,24.31%,undefined%,undefined%,undefined%,72.14%,27.86%,90.38%,9.62%,62.50%,37.50%
UPPER SUBANSIRI,100.00%,0.00%,100.00%,0.00%,undefined%,undefined%,undefined%,99.00%,1.00%,100.00%,0.00%,100.00%,0.00%
KAMLE,100.00%,0.00%,100.00%,0.00%,undefined%,undefined%,undefined%,100.00%,0.00%,100.00%,0.00%,100.00%,0.00%
WEST KAMENG,98.89%,1.11%,0.00%,0.00%,undefined%,undefined%,undefined%,100.00%,0.00%,53.33%,46.67%,73.56%,26.44%
LOWER SIANG,76.06%,23.94%,0.00%,0.00%,undefined%,undefined%,undefined%,74.65%,25.35%,42.42%,57.58%,45.07%,54.93%
PAPUM PARE,100.00%,0.00%,0.00%,0.00%,undefined%,undefined%,undefined%,100.00%,0.00%,100.00%,0.00%,100.00%,0.00%
EAST KAMENG,96.94%,3.06%,0.00%,0.00%,undefined%,undefined%,undefined%,100.00%,0.00%,89.80%,10.20%,66.33%,33.67%
EAST SIANG,82.31%,17.69%,0.00%,0.00%,undefined%,undefined%,undefined%,70.23%,29.77%,34.17%,65.83%,38.93%,61.07%
SIANG,92.41%,7.59%,50.00%,50.00%,undefined%,undefined%,undefined%,68.35%,31.65%,41.33%,58.67%,68.35%,31.65%
DIBANG VALLEY,100.00%,0.00%,100.00%,0.00%,undefined%,undefined%,undefined%,90.00%,10.00%,80.85%,19.15%,69.39%,30.61%
KURUNG KUMEY,100.00%,0.00%,0.00%,0.00%,undefined%,undefined%,undefined%,98.63%,1.37%,100.00%,0.00%,98.63%,1.37%
KRA DAADI,100.00%,0.00%,0.00%,0.00%,undefined%,undefined%,undefined%,100.00%,0.00%,100.00%,0.00%,100.00%,0.00%
LOWER SUBANSIRI,100.00%,0.00%,100.00%,0.00%,undefined%,undefined%,undefined%,100.00%,0.00%,100.00%,0.00%,100.00%,0.00%
CHANGLANG,100.00%,0.00%,100.00%,0.00%,undefined%,undefined%,undefined%,100.00%,0.00%,100.00%,0.00%,100.00%,0.00%
LEPARADA,100.00%,0.00%,0.00%,0.00%,undefined%,undefined%,undefined%,100.00%,0.00%,100.00%,0.00%,100.00%,0.00%
ANJAW,100.00%,0.00%,100.00%,0.00%,undefined%,undefined%,undefined%,86.21%,13.79%,83.93%,16.07%,11.86%,88.14%
TAWANG,100.00%,0.00%,0.00%,0.00%,undefined%,undefined%,undefined%,100.00%,0.00%,100.00%,0.00%,100.00%,0.00%
LOHIT,99.05%,0.95%,82.56%,17.44%,undefined%,undefined%,undefined%,98.10%,1.90%,96.63%,3.37%,29.81%,70.19%
WEST SIANG,85.83%,14.17%,0.00%,0.00%,undefined%,undefined%,undefined%,72.09%,27.91%,51.56%,48.44%,71.20%,28.80%
SHI YOMI,100.00%,0.00%,78.57%,21.43%,undefined%,undefined%,undefined%,98.57%,1.43%,80.00%,20.00%,0.00%,100.00%
PAKKE KESSANG,87.50%,12.50%,0.00%,0.00%,undefined%,undefined%,undefined%,100.00%,0.00%,91.25%,8.75%,45.00%,55.00%
LOWER DIBANG VALLEY,100.00%,0.00%,96.00%,4.00%,undefined%,undefined%,undefined%,98.00%,2.00%,78.57%,21.43%,56.00%,44.00%
UPPER SIANG,100.00%,0.00%,80.00%,20.00%,undefined%,undefined%,undefined%,100.00%,0.00%,72.15%,27.85%,0.00%,100.00%
LONGDING,89.04%,10.96%,0.00%,0.00%,undefined%,undefined%,undefined%,100.00%,0.00%,36.99%,63.01%,84.21%,15.79%
TIRAP,99.09%,0.91%,0.00%,0.00%,undefined%,undefined%,undefined%,100.00%,0.00%,82.73%,17.27%,92.73%,7.27%
