0,1,2,3,4,5,6,7,8,9,10,11,12,13
PASHCHIM CHAMPARAN,99.44%,0.56%,99.83%,0.17%,undefined%,undefined%,undefined%,97.16%,2.84%,32.21%,67.79%,99.32%,0.68%
BHOJPUR,99.71%,0.29%,99.38%,0.62%,undefined%,undefined%,undefined%,88.77%,11.23%,95.33%,4.67%,99.05%,0.95%
KHAGARIA,99.89%,0.11%,99.92%,0.08%,undefined%,undefined%,undefined%,99.10%,0.90%,81.49%,18.51%,98.79%,1.21%
KAIMUR (BHABUA),92.01%,7.99%,53.21%,46.79%,undefined%,undefined%,undefined%,63.16%,36.84%,67.89%,32.11%,94.00%,6.00%
ARWAL,85.29%,14.71%,74.93%,25.07%,undefined%,undefined%,undefined%,91.28%,8.72%,27.81%,72.19%,81.85%,18.15%
SAMASTIPUR,99.88%,0.12%,99.81%,0.19%,undefined%,undefined%,undefined%,96.86%,3.14%,87.42%,12.58%,99.56%,0.44%
SIWAN,93.26%,6.74%,86.95%,13.05%,undefined%,undefined%,undefined%,43.24%,56.76%,25.07%,74.93%,55.92%,44.08%
GOPALGANJ,99.54%,0.46%,99.22%,0.78%,undefined%,undefined%,undefined%,94.99%,5.01%,53.39%,46.61%,94.99%,5.01%
SITAMARHI,99.81%,0.19%,99.07%,0.93%,undefined%,undefined%,undefined%,99.03%,0.97%,94.59%,5.41%,99.84%,0.16%
PURBI CHAMPARAN,99.61%,0.39%,99.62%,0.38%,undefined%,undefined%,undefined%,91.14%,8.86%,72.97%,27.03%,91.08%,8.92%
SARAN,99.85%,0.15%,99.80%,0.20%,undefined%,undefined%,undefined%,99.62%,0.38%,98.66%,1.34%,99.26%,0.74%
MADHUBANI,94.20%,5.80%,99.77%,0.23%,undefined%,undefined%,undefined%,95.35%,4.65%,59.40%,40.60%,84.68%,15.32%
BUXAR,99.95%,0.05%,97.94%,2.06%,undefined%,undefined%,undefined%,97.31%,2.69%,62.77%,37.23%,99.37%,0.63%
PATNA,99.71%,0.29%,97.57%,2.43%,undefined%,undefined%,undefined%,88.28%,11.72%,68.56%,31.44%,94.73%,5.27%
NALANDA,97.28%,2.72%,94.87%,5.13%,undefined%,undefined%,undefined%,93.41%,6.59%,81.36%,18.64%,97.59%,2.41%
LAKHISARAI,99.72%,0.28%,74.42%,25.58%,undefined%,undefined%,undefined%,89.70%,10.30%,77.04%,22.96%,99.96%,0.04%
JAMUI,99.59%,0.41%,96.40%,3.60%,undefined%,undefined%,undefined%,85.84%,14.16%,79.86%,20.14%,85.01%,14.99%
SHEIKHPURA,97.52%,2.48%,100.00%,0.00%,undefined%,undefined%,undefined%,94.07%,5.93%,93.66%,6.34%,99.85%,0.15%
GAYA,99.55%,0.45%,99.36%,0.64%,undefined%,undefined%,undefined%,90.50%,9.50%,97.97%,2.03%,91.82%,8.18%
MUNGER,99.47%,0.53%,99.78%,0.22%,undefined%,undefined%,undefined%,89.61%,10.39%,80.11%,19.89%,91.78%,8.22%
BANKA,99.57%,0.43%,99.85%,0.15%,undefined%,undefined%,undefined%,92.71%,7.29%,93.66%,6.34%,95.93%,4.07%
SUPAUL,98.49%,1.51%,99.90%,0.10%,undefined%,undefined%,undefined%,84.14%,15.86%,89.13%,10.87%,84.63%,15.37%
DARBHANGA,99.98%,0.02%,100.00%,0.00%,undefined%,undefined%,undefined%,99.77%,0.23%,97.12%,2.88%,99.88%,0.12%
ROHTAS,99.97%,0.03%,99.97%,0.03%,undefined%,undefined%,undefined%,99.94%,0.06%,98.21%,1.79%,100.00%,0.00%
SAHARSA,99.51%,0.49%,99.62%,0.38%,undefined%,undefined%,undefined%,97.01%,2.99%,68.93%,31.07%,86.11%,13.89%
PURNIA,99.86%,0.14%,96.60%,3.40%,undefined%,undefined%,undefined%,99.00%,1.00%,65.48%,34.52%,90.76%,9.24%
VAISHALI,99.98%,0.02%,99.88%,0.12%,undefined%,undefined%,undefined%,93.37%,6.63%,95.07%,4.93%,75.90%,24.10%
KISHANGANJ,98.52%,1.48%,98.27%,1.73%,undefined%,undefined%,undefined%,94.67%,5.33%,75.29%,24.71%,94.53%,5.47%
JEHANABAD,87.56%,12.44%,99.51%,0.49%,undefined%,undefined%,undefined%,92.31%,7.69%,48.48%,51.52%,64.53%,35.47%
BEGUSARAI,99.84%,0.16%,99.99%,0.01%,undefined%,undefined%,undefined%,95.09%,4.91%,61.68%,38.32%,94.78%,5.22%
BHAGALPUR,99.85%,0.15%,100.00%,0.00%,undefined%,undefined%,undefined%,98.84%,1.16%,93.17%,6.83%,98.40%,1.60%
AURANGABAD,99.70%,0.30%,99.88%,0.12%,undefined%,undefined%,undefined%,98.01%,1.99%,63.51%,36.49%,99.82%,0.18%
NAWADA,100.00%,0.00%,99.96%,0.04%,undefined%,undefined%,undefined%,99.75%,0.25%,96.73%,3.27%,99.98%,0.02%
ARARIA,100.00%,0.00%,99.66%,0.34%,undefined%,undefined%,undefined%,99.38%,0.62%,82.66%,17.34%,94.44%,5.56%
KATIHAR,99.93%,0.07%,98.91%,1.09%,undefined%,undefined%,undefined%,99.02%,0.98%,77.63%,22.37%,88.30%,11.70%
SHEOHAR,99.60%,0.40%,99.96%,0.04%,undefined%,undefined%,undefined%,93.22%,6.78%,86.88%,13.12%,91.71%,8.29%
MUZAFFARPUR,96.83%,3.17%,78.34%,21.66%,undefined%,undefined%,undefined%,97.37%,2.63%,28.83%,71.17%,96.91%,3.09%
MADHEPURA,99.57%,0.43%,98.05%,1.95%,undefined%,undefined%,undefined%,97.67%,2.33%,61.62%,38.38%,98.61%,1.39%
