0,1,2,3,4,5,6,7,8,9,10,11,12,13
KOREA,97.36%,2.64%,100.00%,0.00%,undefined%,undefined%,undefined%,99.76%,0.24%,88.50%,11.50%,100.00%,0.00%
SAKTI,96.13%,3.87%,63.44%,36.56%,undefined%,undefined%,undefined%,89.50%,10.50%,42.59%,57.41%,98.51%,1.49%
KHAIRGARH CHHUIKHADAN GANDAI,96.93%,3.07%,93.66%,6.34%,undefined%,undefined%,undefined%,74.82%,25.18%,72.43%,27.57%,88.33%,11.67%
SARANGARH BILAIGARH,98.66%,1.34%,93.30%,6.70%,undefined%,undefined%,undefined%,92.57%,7.43%,35.45%,64.55%,99.03%,0.97%
SUKMA,98.80%,1.20%,99.93%,0.07%,undefined%,undefined%,undefined%,98.27%,1.73%,23.22%,76.78%,97.05%,2.95%
NARAYANPUR,55.29%,44.71%,98.85%,1.15%,undefined%,undefined%,undefined%,30.60%,69.40%,16.02%,83.98%,86.42%,13.58%
JANJGIR-CHAMPA,98.53%,1.47%,99.70%,0.30%,undefined%,undefined%,undefined%,94.87%,5.13%,36.74%,63.26%,99.73%,0.27%
MANENDRAGARH CHIRIMIRI BHARATPUR,95.59%,4.41%,100.00%,0.00%,undefined%,undefined%,undefined%,99.84%,0.16%,95.30%,4.70%,99.84%,0.16%
SURAJPUR,99.98%,0.02%,100.00%,0.00%,undefined%,undefined%,undefined%,99.98%,0.02%,71.30%,28.70%,99.98%,0.02%
Gaurella Pendra Marwahi,97.06%,2.94%,98.88%,1.12%,undefined%,undefined%,undefined%,92.92%,7.08%,57.28%,42.72%,94.99%,5.01%
DURG,99.85%,0.15%,99.83%,0.17%,undefined%,undefined%,undefined%,96.67%,3.33%,91.02%,8.98%,98.90%,1.10%
BEMETARA,99.98%,0.02%,99.55%,0.45%,undefined%,undefined%,undefined%,45.54%,54.46%,21.48%,78.52%,99.88%,0.12%
BIJAPUR,87.42%,12.58%,98.73%,1.27%,undefined%,undefined%,undefined%,76.05%,23.95%,64.76%,35.24%,92.02%,7.98%
DANTEWADA,86.48%,13.52%,97.93%,2.07%,undefined%,undefined%,undefined%,73.06%,26.94%,45.81%,54.19%,92.80%,7.20%
DHAMTARI,99.83%,0.17%,83.85%,16.15%,undefined%,undefined%,undefined%,98.74%,1.26%,40.24%,59.76%,98.63%,1.37%
RAIGARH,99.82%,0.18%,100.00%,0.00%,undefined%,undefined%,undefined%,98.56%,1.44%,74.57%,25.43%,98.96%,1.04%
MOHLA MANPUR AMBAGARH CHOUKI,89.95%,10.05%,94.23%,5.77%,undefined%,undefined%,undefined%,64.20%,35.80%,75.60%,24.40%,90.88%,9.12%
JASHPUR,100.00%,0.00%,100.00%,0.00%,undefined%,undefined%,undefined%,99.91%,0.09%,3.18%,96.82%,100.00%,0.00%
GARIYABAND,99.93%,0.07%,100.00%,0.00%,undefined%,undefined%,undefined%,99.68%,0.32%,41.62%,58.38%,99.95%,0.05%
KANKER,99.70%,0.30%,99.99%,0.01%,undefined%,undefined%,undefined%,99.96%,0.04%,1.89%,98.11%,99.98%,0.02%
MAHASAMUND,99.98%,0.02%,99.97%,0.03%,undefined%,undefined%,undefined%,96.96%,3.04%,70.75%,29.25%,99.73%,0.27%
BALODA BAZAR,99.16%,0.84%,90.03%,9.97%,undefined%,undefined%,undefined%,66.36%,33.64%,21.22%,78.78%,89.38%,10.62%
BASTAR,95.81%,4.19%,99.77%,0.23%,undefined%,undefined%,undefined%,94.09%,5.91%,38.70%,61.30%,91.61%,8.39%
KONDAGAON,46.51%,53.49%,99.86%,0.14%,undefined%,undefined%,undefined%,40.30%,59.70%,13.94%,86.06%,88.50%,11.50%
BALOD,99.23%,0.77%,97.01%,2.99%,undefined%,undefined%,undefined%,91.26%,8.74%,68.53%,31.47%,99.04%,0.96%
MUNGELI,95.73%,4.27%,99.95%,0.05%,undefined%,undefined%,undefined%,80.87%,19.13%,82.63%,17.37%,99.10%,0.90%
KABIRDHAM,99.36%,0.64%,99.64%,0.36%,undefined%,undefined%,undefined%,90.21%,9.79%,49.96%,50.04%,98.10%,1.90%
Balrampur,99.93%,0.07%,99.95%,0.05%,undefined%,undefined%,undefined%,99.70%,0.30%,35.71%,64.29%,99.87%,0.13%
RAIPUR,99.95%,0.05%,99.97%,0.03%,undefined%,undefined%,undefined%,99.77%,0.23%,96.85%,3.15%,99.98%,0.02%
Bilaspur,99.58%,0.42%,100.00%,0.00%,undefined%,undefined%,undefined%,94.18%,5.82%,89.90%,10.10%,98.34%,1.66%
SURGUJA,99.81%,0.19%,99.84%,0.16%,undefined%,undefined%,undefined%,99.33%,0.67%,69.62%,30.38%,99.70%,0.30%
RAJNANDGAON,97.20%,2.80%,89.06%,10.94%,undefined%,undefined%,undefined%,68.93%,31.07%,45.77%,54.23%,98.00%,2.00%
KORBA,99.87%,0.13%,99.96%,0.04%,undefined%,undefined%,undefined%,99.90%,0.10%,9.03%,90.97%,99.83%,0.17%
