0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,0,1,2,3,4,5,6,7,8,9,10,11,12,13
KOREA,0.04%,12.52%,87.44%,0.16%,92.00%,7.84%,49.13%,37.95%,12.92%,42.15%,57.85%,3.70%,96.30%,83.79%,15.77%,0.45%,KOREA,97.36%,2.64%,100.00%,0.00%,undefined%,undefined%,undefined%,99.76%,0.24%,88.50%,11.50%,100.00%,0.00%
SAKTI,0.15%,7.80%,92.05%,2.52%,71.13%,26.36%,47.91%,46.49%,5.61%,75.12%,24.88%,16.21%,83.79%,55.88%,38.19%,5.93%,SAKTI,96.13%,3.87%,63.44%,36.56%,undefined%,undefined%,undefined%,89.50%,10.50%,42.59%,57.41%,98.51%,1.49%
KHAIRGARH CHHUIKHADAN GANDAI,0.03%,1.23%,98.73%,0.07%,31.27%,68.67%,74.77%,18.07%,7.17%,56.15%,43.85%,16.94%,83.06%,15.77%,63.83%,20.40%,KHAIRGARH CHHUIKHADAN GANDAI,96.93%,3.07%,93.66%,6.34%,undefined%,undefined%,undefined%,74.82%,25.18%,72.43%,27.57%,88.33%,11.67%
SARANGARH BILAIGARH,0.20%,12.72%,87.08%,0.63%,94.77%,4.60%,81.65%,15.36%,3.00%,39.91%,60.09%,9.76%,90.24%,29.98%,59.55%,10.47%,SARANGARH BILAIGARH,98.66%,1.34%,93.30%,6.70%,undefined%,undefined%,undefined%,92.57%,7.43%,35.45%,64.55%,99.03%,0.97%
SUKMA,0.17%,5.33%,94.51%,0.30%,84.69%,15.01%,35.59%,61.85%,2.56%,17.86%,82.14%,0.27%,99.73%,96.07%,3.06%,0.87%,SUKMA,98.80%,1.20%,99.93%,0.07%,undefined%,undefined%,undefined%,98.27%,1.73%,23.22%,76.78%,97.05%,2.95%
NARAYANPUR,0.20%,6.50%,93.30%,0.35%,68.00%,31.65%,45.90%,53.65%,0.45%,45.72%,54.28%,0.90%,99.10%,96.00%,3.80%,0.20%,NARAYANPUR,55.29%,44.71%,98.85%,1.15%,undefined%,undefined%,undefined%,30.60%,69.40%,16.02%,83.98%,86.42%,13.58%
JANJGIR-CHAMPA,0.03%,16.88%,83.09%,0.15%,97.00%,2.85%,74.64%,25.16%,0.20%,41.88%,58.12%,0.25%,99.75%,45.66%,53.27%,1.07%,JANJGIR-CHAMPA,98.53%,1.47%,99.70%,0.30%,undefined%,undefined%,undefined%,94.87%,5.13%,36.74%,63.26%,99.73%,0.27%
MANENDRAGARH CHIRIMIRI BHARATPUR,0.08%,5.84%,94.09%,0.20%,92.90%,6.90%,56.56%,40.03%,3.41%,21.07%,78.93%,2.59%,97.41%,75.31%,23.16%,1.53%,MANENDRAGARH CHIRIMIRI BHARATPUR,95.59%,4.41%,100.00%,0.00%,undefined%,undefined%,undefined%,99.84%,0.16%,95.30%,4.70%,99.84%,0.16%
SURAJPUR,0.10%,0.37%,99.52%,0.02%,62.82%,37.16%,57.94%,41.97%,0.09%,38.89%,61.11%,0.29%,99.71%,99.76%,0.22%,0.02%,SURAJPUR,99.98%,0.02%,100.00%,0.00%,undefined%,undefined%,undefined%,99.98%,0.02%,71.30%,28.70%,99.98%,0.02%
