0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
VADODARA,0.55%,60.60%,38.85%,83.96%,16.04%,0.00%,96.69%,3.18%,0.13%,97.27%,2.73%,33.75%,66.25%,0.24%,19.24%,80.52%
DANG,0.14%,18.40%,81.47%,48.39%,51.56%,0.05%,97.10%,2.76%,0.14%,62.75%,37.25%,3.99%,96.01%,0.05%,88.45%,11.51%
ARVALLI,0.00%,2.74%,97.26%,48.89%,51.11%,0.00%,84.68%,15.32%,0.00%,54.74%,45.26%,65.42%,34.58%,0.84%,62.42%,36.74%
BHAVNAGAR,0.00%,3.00%,97.00%,26.04%,53.20%,20.76%,81.94%,15.88%,2.18%,58.60%,41.40%,8.21%,91.79%,0.41%,35.09%,64.50%
VALSAD,0.02%,42.24%,57.74%,49.81%,50.15%,0.04%,78.74%,19.94%,1.32%,68.68%,31.32%,62.30%,37.70%,9.85%,59.55%,30.61%
BOTAD,53.28%,35.35%,11.37%,2.11%,95.43%,2.46%,83.59%,16.00%,0.41%,88.80%,11.20%,72.27%,27.73%,0.47%,72.39%,27.14%
GIR SOMNATH,0.12%,20.12%,79.77%,42.67%,53.94%,3.39%,77.28%,13.42%,9.30%,58.17%,41.83%,69.65%,30.35%,0.09%,22.75%,77.16%
AHMADABAD,0.00%,5.90%,94.10%,33.54%,59.52%,6.94%,86.25%,12.21%,1.54%,56.85%,43.15%,22.73%,77.27%,0.73%,23.52%,75.75%
ANAND,0.00%,25.33%,74.67%,96.72%,3.28%,0.00%,91.36%,8.22%,0.42%,75.75%,24.25%,36.11%,63.89%,0.58%,20.83%,78.58%
JUNAGADH,0.07%,22.98%,76.96%,24.05%,74.78%,1.17%,70.64%,24.05%,5.32%,62.71%,37.29%,75.69%,24.31%,0.07%,58.36%,41.57%
SURENDRANAGAR,26.31%,33.55%,40.14%,10.21%,88.06%,1.73%,87.79%,11.38%,0.83%,73.30%,26.70%,62.59%,37.41%,0.22%,55.38%,44.39%
DOHAD,0.04%,7.92%,92.03%,21.80%,77.71%,0.49%,65.49%,33.41%,1.10%,44.83%,55.17%,90.64%,9.36%,3.47%,39.23%,57.30%
GANDHINAGAR,0.00%,8.34%,91.66%,83.85%,16.11%,0.03%,90.72%,9.14%,0.14%,65.12%,34.88%,23.82%,76.18%,0.45%,45.10%,54.45%
NAVSARI,0.08%,7.10%,92.82%,35.68%,64.18%,0.13%,99.71%,0.05%,0.24%,38.48%,61.52%,81.53%,18.47%,0.29%,60.75%,38.96%
TAPI,0.07%,8.38%,91.55%,39.27%,57.72%,3.01%,71.20%,25.58%,3.22%,59.65%,40.35%,6.85%,93.15%,5.13%,69.47%,25.40%
JAMNAGAR,1.25%,41.85%,56.90%,26.14%,72.32%,1.54%,70.98%,25.64%,3.39%,56.69%,43.31%,65.47%,34.53%,4.08%,26.48%,69.44%
PANCH MAHALS,0.11%,35.77%,64.12%,20.21%,79.47%,0.32%,64.56%,33.10%,2.34%,85.33%,14.67%,67.57%,32.43%,10.23%,49.52%,40.25%
BANAS KANTHA,0.00%,3.16%,96.84%,60.02%,37.00%,2.98%,74.06%,20.79%,5.15%,60.03%,39.97%,35.44%,64.56%,0.00%,25.74%,74.26%
Mahisagar,0.06%,14.04%,85.90%,16.86%,80.74%,2.40%,84.55%,14.97%,0.48%,59.89%,40.11%,80.72%,19.28%,1.85%,35.27%,62.88%
PATAN,0.15%,25.64%,74.21%,49.24%,45.62%,5.14%,99.55%,0.45%,0.00%,82.35%,17.65%,32.13%,67.87%,0.00%,13.57%,86.43%
PORBANDAR,0.13%,10.46%,89.41%,37.83%,55.20%,6.97%,91.97%,5.86%,2.17%,72.04%,27.96%,85.33%,14.67%,0.00%,16.84%,83.16%
SABAR KANTHA,0.13%,0.03%,99.84%,25.34%,74.53%,0.13%,81.00%,18.37%,0.63%,45.57%,54.43%,25.94%,74.06%,0.23%,33.04%,66.73%
RAJKOT,2.95%,44.78%,52.27%,76.82%,23.18%,0.00%,99.89%,0.02%,0.09%,77.22%,22.78%,30.82%,69.18%,0.09%,31.15%,68.76%
KHEDA,0.17%,25.66%,74.17%,33.31%,66.67%,0.02%,85.32%,14.66%,0.02%,58.72%,41.28%,58.54%,41.46%,0.69%,36.81%,62.50%
NARMADA,0.10%,50.08%,49.82%,37.48%,62.50%,0.02%,97.15%,2.83%,0.02%,98.41%,1.59%,32.49%,67.51%,0.16%,50.39%,49.46%
MAHESANA,0.00%,20.54%,79.46%,78.87%,20.60%,0.53%,83.77%,15.54%,0.69%,84.83%,15.17%,3.62%,96.38%,0.90%,11.02%,88.08%
DEVBHUMI DWARKA,0.00%,40.00%,60.00%,24.00%,76.00%,0.00%,60.00%,28.00%,12.00%,52.00%,48.00%,100.00%,0.00%,8.00%,52.00%,40.00%
