0,1,2,3,4,5,6,7,8,9,10,11,12,13
PANCHKULA,96.58%,3.42%,99.91%,0.09%,undefined%,undefined%,undefined%,79.83%,20.17%,87.84%,12.16%,59.72%,40.28%
JHAJJAR,96.60%,3.40%,100.00%,0.00%,undefined%,undefined%,undefined%,51.43%,48.57%,87.82%,12.18%,90.67%,9.33%
KAITHAL,98.87%,1.13%,39.50%,60.50%,undefined%,undefined%,undefined%,77.33%,22.67%,59.16%,40.84%,62.20%,37.80%
JIND,99.91%,0.09%,0.00%,0.00%,undefined%,undefined%,undefined%,94.69%,5.31%,89.11%,10.89%,98.92%,1.08%
SIRSA,63.84%,36.16%,73.80%,26.20%,undefined%,undefined%,undefined%,22.70%,77.30%,37.72%,62.28%,14.00%,86.00%
REWARI,99.91%,0.09%,0.00%,0.00%,undefined%,undefined%,undefined%,99.33%,0.67%,99.24%,0.76%,99.88%,0.12%
MAHENDRAGARH,95.96%,4.04%,47.16%,52.84%,undefined%,undefined%,undefined%,41.08%,58.92%,61.45%,38.55%,83.03%,16.97%
PALWAL,99.20%,0.80%,0.00%,0.00%,undefined%,undefined%,undefined%,95.14%,4.86%,98.86%,1.14%,95.35%,4.65%
FARIDABAD,0.00%,0.00%,0.00%,0.00%,undefined%,undefined%,undefined%,99.95%,0.05%,99.44%,0.56%,100.00%,0.00%
NUH,97.85%,2.15%,31.08%,68.92%,undefined%,undefined%,undefined%,68.52%,31.48%,78.61%,21.39%,85.01%,14.99%
BHIWANI,95.18%,4.82%,92.45%,7.55%,undefined%,undefined%,undefined%,33.33%,66.67%,74.66%,25.34%,89.91%,10.09%
YAMUNANAGAR,96.71%,3.29%,100.00%,0.00%,undefined%,undefined%,undefined%,87.58%,12.42%,88.27%,11.73%,18.44%,81.56%
CHARKI DADRI,97.11%,2.89%,0.00%,0.00%,undefined%,undefined%,undefined%,88.60%,11.40%,73.50%,26.50%,99.60%,0.40%
KARNAL,99.79%,0.21%,11.98%,88.02%,undefined%,undefined%,undefined%,96.96%,3.04%,99.30%,0.70%,98.69%,1.31%
AMBALA,85.52%,14.48%,100.00%,0.00%,undefined%,undefined%,undefined%,81.39%,18.61%,78.77%,21.23%,53.69%,46.31%
FATEHABAD,94.96%,5.04%,88.19%,11.81%,undefined%,undefined%,undefined%,51.27%,48.73%,86.53%,13.47%,58.19%,41.81%
PANIPAT,99.60%,0.40%,99.84%,0.16%,undefined%,undefined%,undefined%,90.66%,9.34%,91.94%,8.06%,84.81%,15.19%
KURUKSHETRA,97.63%,2.37%,93.99%,6.01%,undefined%,undefined%,undefined%,81.96%,18.04%,91.82%,8.18%,91.23%,8.77%
GURUGRAM,50.00%,50.00%,0.00%,0.00%,undefined%,undefined%,undefined%,81.77%,18.23%,99.24%,0.76%,88.57%,11.43%
HISAR,86.72%,13.28%,28.47%,71.53%,undefined%,undefined%,undefined%,43.40%,56.60%,60.14%,39.86%,82.23%,17.77%
SONIPAT,92.02%,7.98%,57.29%,42.71%,undefined%,undefined%,undefined%,40.03%,59.97%,56.65%,43.35%,35.20%,64.80%
ROHTAK,95.29%,4.71%,91.57%,8.43%,undefined%,undefined%,undefined%,76.75%,23.25%,64.83%,35.17%,72.38%,27.62%
