0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
SIRMAUR,2.94%,52.69%,44.37%,0.00%,100.00%,0.00%,97.66%,2.13%,0.20%,100.00%,0.00%,0.00%,0.00%,9.86%,72.56%,17.58%
CHAMBA,0.10%,84.68%,15.22%,0.00%,75.08%,24.92%,0.00%,100.00%,0.00%,100.00%,0.00%,28.33%,71.67%,55.86%,43.34%,0.80%
KULLU,0.00%,0.09%,99.91%,36.71%,58.71%,4.58%,63.64%,22.62%,13.73%,96.68%,3.32%,1.44%,98.56%,34.56%,49.19%,16.25%
SOLAN,0.00%,0.00%,100.00%,1.76%,94.32%,3.91%,70.77%,28.93%,0.29%,99.90%,0.10%,7.01%,92.99%,19.35%,50.54%,30.11%
MANDI,0.00%,4.81%,95.19%,6.00%,69.63%,24.38%,58.69%,28.50%,12.81%,94.63%,5.37%,0.06%,99.94%,43.25%,49.00%,7.75%
UNA,0.34%,63.96%,35.70%,0.09%,88.98%,10.93%,3.50%,84.37%,12.13%,53.24%,46.76%,1.54%,98.46%,10.08%,80.87%,9.05%
SHIMLA,0.18%,0.00%,99.82%,15.09%,56.46%,28.46%,91.77%,7.23%,0.99%,97.47%,2.53%,2.89%,97.11%,52.26%,46.02%,1.72%
KANGRA,0.10%,56.62%,43.28%,1.27%,87.68%,11.05%,71.71%,27.22%,1.07%,95.67%,4.33%,0.58%,99.42%,71.28%,28.63%,0.10%
BILASPUR,0.00%,94.51%,5.49%,0.10%,93.21%,6.69%,1.50%,96.81%,1.70%,90.82%,9.18%,0.00%,100.00%,4.39%,92.02%,3.59%
HAMIRPUR,8.30%,85.24%,6.46%,0.00%,96.66%,3.34%,52.83%,46.83%,0.35%,94.12%,5.88%,28.72%,71.28%,7.50%,92.50%,0.00%
LAHUL AND SPITI,0.00%,0.00%,100.00%,50.96%,49.04%,0.00%,56.73%,24.04%,19.23%,97.12%,2.88%,2.88%,97.12%,17.31%,46.15%,36.54%
