0,1,2,3,4,5,6,7,8,9,10,11,12,13
SIRMAUR,100.00%,0.00%,0.00%,0.00%,undefined%,undefined%,undefined%,50.00%,50.00%,100.00%,0.00%,0.00%,100.00%
CHAMBA,0.00%,0.00%,0.00%,0.00%,undefined%,undefined%,undefined%,100.00%,0.00%,0.00%,0.00%,0.00%,0.00%
KULLU,97.49%,2.51%,99.91%,0.09%,undefined%,undefined%,undefined%,89.23%,10.77%,92.19%,7.81%,72.29%,27.71%
SOLAN,100.00%,0.00%,0.00%,0.00%,undefined%,undefined%,undefined%,97.95%,2.05%,95.30%,4.70%,81.20%,18.80%
MANDI,98.18%,1.82%,100.00%,0.00%,undefined%,undefined%,undefined%,96.31%,3.69%,95.43%,4.57%,84.16%,15.84%
UNA,100.00%,0.00%,0.00%,0.00%,undefined%,undefined%,undefined%,100.00%,0.00%,80.56%,19.44%,100.00%,0.00%
SHIMLA,99.10%,0.90%,0.00%,0.00%,undefined%,undefined%,undefined%,93.67%,6.33%,89.50%,10.50%,65.49%,34.51%
KANGRA,99.95%,0.05%,99.95%,0.05%,undefined%,undefined%,undefined%,99.17%,0.83%,99.51%,0.49%,99.12%,0.88%
BILASPUR,100.00%,0.00%,100.00%,0.00%,undefined%,undefined%,undefined%,89.72%,10.28%,81.62%,18.38%,97.94%,2.06%
HAMIRPUR,100.00%,0.00%,0.00%,0.00%,undefined%,undefined%,undefined%,96.89%,3.11%,98.15%,1.85%,96.69%,3.31%
LAHUL AND SPITI,100.00%,0.00%,100.00%,0.00%,undefined%,undefined%,undefined%,98.08%,1.92%,99.04%,0.96%,36.54%,63.46%
