0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
REASI,76.94%,18.76%,4.30%,1.09%,46.82%,52.09%,16.10%,26.16%,57.75%,93.31%,6.69%,0.44%,99.56%,0.65%,99.24%,0.11%
SAMBA,0.29%,29.21%,70.50%,1.00%,90.29%,8.71%,59.93%,39.29%,0.79%,10.23%,89.77%,0.14%,99.86%,12.57%,85.50%,1.93%
DODA,4.09%,82.47%,13.43%,0.92%,87.03%,12.06%,55.03%,41.37%,3.60%,65.98%,34.02%,0.19%,99.81%,0.54%,90.66%,8.80%
RAMBAN,0.00%,99.25%,0.75%,0.00%,100.00%,0.00%,60.00%,40.00%,0.00%,99.25%,0.75%,85.66%,14.34%,0.00%,99.62%,0.38%
KATHUA,18.54%,71.91%,9.55%,37.04%,61.56%,1.40%,20.62%,78.51%,0.87%,80.51%,19.49%,13.34%,86.66%,37.76%,52.65%,9.59%
SHOPIAN,0.11%,73.99%,25.90%,0.33%,98.84%,0.83%,4.15%,90.39%,5.46%,98.92%,1.08%,39.65%,60.35%,78.32%,21.32%,0.36%
PULWAMA,1.40%,84.21%,14.39%,1.58%,97.98%,0.44%,92.86%,6.54%,0.60%,95.67%,4.33%,11.44%,88.56%,12.04%,81.29%,6.67%
GANDERBAL,9.05%,86.48%,4.47%,5.81%,93.60%,0.59%,55.83%,42.52%,1.65%,98.88%,1.12%,26.56%,73.44%,7.98%,70.09%,21.93%
BANDIPORA,0.03%,44.86%,55.11%,13.28%,86.69%,0.03%,68.81%,30.96%,0.24%,89.36%,10.64%,31.58%,68.42%,4.90%,37.17%,57.93%
UDHAMPUR,34.56%,52.58%,12.86%,2.86%,83.42%,13.72%,19.22%,54.13%,26.64%,78.61%,21.39%,16.64%,83.36%,1.73%,96.68%,1.59%
JAMMU,2.45%,62.45%,35.10%,0.95%,98.97%,0.08%,77.94%,21.00%,1.05%,43.72%,56.28%,84.38%,15.62%,0.79%,94.30%,4.91%
KISHTWAR,3.71%,90.67%,5.62%,1.57%,97.98%,0.45%,54.72%,45.06%,0.22%,81.78%,18.22%,99.10%,0.90%,6.18%,75.96%,17.87%
KUPWARA,2.87%,73.59%,23.54%,9.18%,90.74%,0.08%,56.65%,42.99%,0.36%,93.69%,6.31%,83.73%,16.27%,4.82%,79.28%,15.90%
RAJOURI,75.04%,24.73%,0.23%,0.15%,91.54%,8.31%,74.08%,25.81%,0.12%,99.96%,0.04%,3.12%,96.88%,0.15%,55.73%,44.12%
SRINAGAR,4.88%,49.92%,45.20%,3.82%,96.18%,0.00%,89.43%,9.19%,1.38%,63.17%,36.83%,38.86%,61.14%,6.91%,36.42%,56.67%
Budgam,0.33%,52.93%,46.74%,6.65%,93.12%,0.23%,56.46%,42.39%,1.14%,94.08%,5.92%,20.77%,79.23%,0.60%,88.13%,11.27%
KULGAM,0.07%,36.26%,63.67%,52.46%,47.19%,0.36%,38.80%,43.28%,17.92%,97.98%,2.02%,33.60%,66.40%,69.69%,29.11%,1.20%
ANANTNAG,28.39%,60.06%,11.56%,1.88%,86.42%,11.69%,80.86%,17.42%,1.72%,89.63%,10.37%,39.13%,60.87%,13.72%,62.99%,23.30%
POONCH,88.44%,11.33%,0.22%,4.22%,88.72%,7.06%,84.78%,10.28%,4.94%,100.00%,0.00%,65.89%,34.11%,14.72%,75.22%,10.06%
BARAMULLA,4.73%,55.02%,40.25%,29.12%,67.36%,3.53%,63.68%,35.68%,0.64%,53.65%,46.35%,21.03%,78.97%,11.79%,86.20%,2.02%
