0,1,2,3,4,5,6,7,8,9,10,11,12,13
REASI,59.09%,40.91%,45.07%,54.93%,undefined%,undefined%,undefined%,20.77%,79.23%,40.29%,59.71%,40.64%,59.36%
SAMBA,95.43%,4.57%,99.93%,0.07%,undefined%,undefined%,undefined%,75.71%,24.29%,63.36%,36.64%,65.48%,34.52%
DODA,91.51%,8.49%,0.00%,0.00%,undefined%,undefined%,undefined%,87.79%,12.21%,43.09%,56.91%,92.48%,7.52%
RAMBAN,24.15%,75.85%,100.00%,0.00%,undefined%,undefined%,undefined%,17.36%,82.64%,100.00%,0.00%,17.74%,82.26%
KATHUA,99.32%,0.68%,96.51%,3.49%,undefined%,undefined%,undefined%,78.92%,21.08%,81.72%,18.28%,98.03%,1.97%
SHOPIAN,19.16%,80.84%,98.99%,1.01%,undefined%,undefined%,undefined%,2.17%,97.83%,83.50%,16.50%,82.93%,17.07%
PULWAMA,94.99%,5.01%,98.90%,1.10%,undefined%,undefined%,undefined%,85.57%,14.43%,60.66%,39.34%,79.98%,20.02%
GANDERBAL,98.56%,1.44%,100.00%,0.00%,undefined%,undefined%,undefined%,46.35%,53.65%,79.18%,20.82%,87.81%,12.19%
BANDIPORA,94.64%,5.36%,95.28%,4.72%,undefined%,undefined%,undefined%,8.88%,91.12%,12.63%,87.37%,43.40%,56.60%
UDHAMPUR,50.62%,49.38%,93.40%,6.60%,undefined%,undefined%,undefined%,51.34%,48.66%,56.14%,43.86%,24.88%,75.12%
JAMMU,99.95%,0.05%,99.87%,0.13%,undefined%,undefined%,undefined%,98.60%,1.40%,95.13%,4.87%,99.29%,0.71%
KISHTWAR,55.62%,44.38%,86.36%,13.64%,undefined%,undefined%,undefined%,37.30%,62.70%,31.57%,68.43%,26.98%,73.02%
KUPWARA,98.28%,1.72%,99.85%,0.15%,undefined%,undefined%,undefined%,36.83%,63.17%,88.33%,11.67%,28.45%,71.55%
RAJOURI,99.58%,0.42%,0.00%,100.00%,undefined%,undefined%,undefined%,99.77%,0.23%,73.46%,26.54%,99.92%,0.08%
SRINAGAR,98.46%,1.54%,100.00%,0.00%,undefined%,undefined%,undefined%,70.81%,29.19%,94.23%,5.77%,98.70%,1.30%
Budgam,99.19%,0.81%,95.72%,4.28%,undefined%,undefined%,undefined%,28.91%,71.09%,19.88%,80.12%,89.29%,10.71%
KULGAM,95.92%,4.08%,98.44%,1.56%,undefined%,undefined%,undefined%,36.98%,63.02%,80.40%,19.60%,55.55%,44.45%
ANANTNAG,98.46%,1.54%,98.40%,1.60%,undefined%,undefined%,undefined%,77.29%,22.71%,80.77%,19.23%,69.56%,30.44%
POONCH,88.17%,11.83%,100.00%,0.00%,undefined%,undefined%,undefined%,78.61%,21.39%,99.89%,0.11%,52.31%,47.69%
BARAMULLA,99.98%,0.02%,57.25%,42.75%,undefined%,undefined%,undefined%,94.53%,5.47%,79.53%,20.47%,95.15%,4.85%
