0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
GODDA,1.11%,76.20%,22.69%,9.23%,84.41%,6.37%,61.16%,35.89%,2.95%,56.64%,43.36%,17.99%,82.01%,89.39%,7.38%,3.23%
GARHWA,0.28%,20.80%,78.92%,0.42%,98.75%,0.83%,23.16%,76.28%,0.55%,34.12%,65.88%,16.64%,83.36%,27.46%,44.66%,27.88%
EAST SINGHBUM,1.99%,71.72%,26.29%,0.14%,89.69%,10.17%,51.95%,45.85%,2.20%,54.85%,45.15%,11.35%,88.65%,95.75%,4.16%,0.09%
HAZARIBAGH,0.72%,44.06%,55.22%,0.00%,94.06%,5.94%,84.20%,13.77%,2.03%,78.99%,21.01%,0.00%,100.00%,50.87%,40.58%,8.55%
DUMKA,0.08%,1.14%,98.77%,0.57%,95.51%,3.92%,18.46%,34.72%,46.81%,48.20%,51.80%,72.79%,27.21%,99.43%,0.08%,0.49%
JAMTARA,0.96%,22.19%,76.84%,27.54%,58.67%,13.79%,5.81%,21.04%,73.15%,44.93%,55.07%,5.46%,94.54%,86.79%,10.57%,2.64%
DHANBAD,0.09%,7.81%,92.10%,0.34%,97.90%,1.77%,2.57%,96.85%,0.58%,55.53%,44.47%,26.32%,73.68%,98.68%,1.14%,0.18%
WEST SINGHBHUM,0.00%,37.50%,62.50%,0.00%,99.64%,0.36%,2.50%,94.46%,3.04%,43.04%,56.96%,3.93%,96.07%,100.00%,0.00%,0.00%
CHATRA,0.83%,44.63%,54.54%,15.94%,76.47%,7.59%,67.26%,28.25%,4.49%,44.95%,55.05%,12.87%,87.13%,47.72%,42.48%,9.81%
RAMGARH,4.34%,51.43%,44.23%,0.00%,99.89%,0.11%,18.63%,44.46%,36.91%,80.18%,19.82%,0.11%,99.89%,92.69%,6.86%,0.46%
SARAIKELA KHARSAWAN,0.00%,30.03%,69.97%,0.55%,99.45%,0.00%,47.93%,51.52%,0.55%,28.18%,71.82%,22.31%,77.69%,100.00%,0.00%,0.00%
GIRIDIH,0.07%,27.71%,72.22%,0.14%,88.33%,11.53%,46.88%,48.06%,5.07%,81.60%,18.40%,16.94%,83.06%,74.58%,22.78%,2.64%
GUMLA,0.00%,29.77%,70.23%,0.04%,99.77%,0.19%,19.95%,80.01%,0.04%,59.45%,40.55%,12.94%,87.06%,99.34%,0.66%,0.00%
SAHEBGANJ,2.74%,84.67%,12.59%,27.45%,71.92%,0.64%,42.33%,54.38%,3.28%,94.55%,5.45%,22.35%,77.65%,36.47%,50.46%,13.07%
LATEHAR,4.14%,73.20%,22.66%,2.18%,23.97%,73.86%,78.21%,20.48%,1.31%,75.60%,24.40%,3.05%,96.95%,54.47%,42.27%,3.27%
BOKARO,0.38%,25.25%,74.37%,1.01%,63.19%,35.80%,42.46%,16.46%,41.08%,57.04%,42.96%,12.56%,87.44%,97.24%,2.51%,0.25%
DEOGHAR,0.27%,31.92%,67.82%,0.17%,99.65%,0.18%,17.85%,81.84%,0.31%,62.80%,37.20%,10.93%,89.07%,91.96%,7.04%,1.00%
SIMDEGA,0.00%,50.00%,50.00%,0.00%,100.00%,0.00%,100.00%,0.00%,0.00%,100.00%,0.00%,50.00%,50.00%,100.00%,0.00%,0.00%
RANCHI,4.14%,73.24%,22.63%,0.73%,94.65%,4.62%,46.47%,44.53%,9.00%,96.83%,3.17%,19.95%,80.05%,96.59%,3.41%,0.00%
LOHARDAGA,0.00%,0.21%,99.79%,24.04%,66.13%,9.83%,0.00%,3.53%,96.47%,22.44%,77.56%,31.02%,68.98%,26.04%,24.55%,49.41%
PAKUR,0.00%,0.00%,100.00%,9.52%,88.89%,1.59%,0.00%,68.25%,31.75%,93.65%,6.35%,76.19%,23.81%,88.89%,11.11%,0.00%
