0,1,2,3,4,5,6,7,8,9,10,11,12,13
GODDA,99.63%,0.37%,93.63%,6.37%,undefined%,undefined%,undefined%,99.82%,0.18%,98.43%,1.57%,99.17%,0.83%
GARHWA,100.00%,0.00%,99.58%,0.42%,undefined%,undefined%,undefined%,99.17%,0.83%,41.75%,58.25%,95.80%,4.20%
EAST SINGHBUM,97.46%,2.54%,91.05%,8.95%,undefined%,undefined%,undefined%,99.95%,0.05%,93.97%,6.03%,99.98%,0.02%
HAZARIBAGH,100.00%,0.00%,100.00%,0.00%,undefined%,undefined%,undefined%,99.86%,0.14%,98.70%,1.30%,99.13%,0.87%
DUMKA,98.61%,1.39%,97.79%,2.21%,undefined%,undefined%,undefined%,99.10%,0.90%,90.03%,9.97%,86.44%,13.56%
JAMTARA,69.44%,30.56%,68.28%,31.72%,undefined%,undefined%,undefined%,92.09%,7.91%,30.43%,69.57%,7.14%,92.86%
DHANBAD,99.89%,0.11%,89.98%,10.02%,undefined%,undefined%,undefined%,99.87%,0.13%,99.26%,0.74%,95.04%,4.96%
WEST SINGHBHUM,98.75%,1.25%,89.46%,10.54%,undefined%,undefined%,undefined%,99.64%,0.36%,65.89%,34.11%,99.82%,0.18%
CHATRA,91.38%,8.62%,98.97%,1.03%,undefined%,undefined%,undefined%,92.67%,7.33%,52.02%,47.98%,98.04%,1.96%
RAMGARH,100.00%,0.00%,100.00%,0.00%,undefined%,undefined%,undefined%,95.12%,4.88%,48.63%,51.37%,96.09%,3.91%
SARAIKELA KHARSAWAN,96.42%,3.58%,84.79%,15.21%,undefined%,undefined%,undefined%,99.72%,0.28%,93.39%,6.61%,100.00%,0.00%
GIRIDIH,91.47%,8.53%,94.72%,5.28%,undefined%,undefined%,undefined%,75.75%,24.25%,73.01%,26.99%,61.69%,38.31%
GUMLA,99.88%,0.12%,99.88%,0.12%,undefined%,undefined%,undefined%,99.88%,0.12%,88.62%,11.38%,99.88%,0.12%
SAHEBGANJ,98.85%,1.15%,99.01%,0.99%,undefined%,undefined%,undefined%,98.79%,1.21%,95.57%,4.43%,96.71%,3.29%
LATEHAR,0.00%,0.00%,0.00%,0.00%,undefined%,undefined%,undefined%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
BOKARO,99.12%,0.88%,62.44%,37.56%,undefined%,undefined%,undefined%,64.82%,35.18%,95.35%,4.65%,99.75%,0.25%
DEOGHAR,99.99%,0.01%,99.94%,0.06%,undefined%,undefined%,undefined%,99.82%,0.18%,84.03%,15.97%,99.94%,0.06%
SIMDEGA,100.00%,0.00%,100.00%,0.00%,undefined%,undefined%,undefined%,100.00%,0.00%,50.00%,50.00%,100.00%,0.00%
RANCHI,90.27%,9.73%,90.27%,9.73%,undefined%,undefined%,undefined%,81.27%,18.73%,85.16%,14.84%,91.24%,8.76%
LOHARDAGA,97.96%,2.04%,99.47%,0.53%,undefined%,undefined%,undefined%,94.84%,5.16%,97.74%,2.26%,93.23%,6.77%
PAKUR,100.00%,0.00%,100.00%,0.00%,undefined%,undefined%,undefined%,76.19%,23.81%,95.24%,4.76%,100.00%,0.00%
