0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,0,1,2,3,4,5,6,7,8,9,10,11,12,13
GODDA,1.11%,76.20%,22.69%,9.23%,84.41%,6.37%,61.16%,35.89%,2.95%,56.64%,43.36%,17.99%,82.01%,89.39%,7.38%,3.23%,GODDA,99.63%,0.37%,93.63%,6.37%,undefined%,undefined%,undefined%,99.82%,0.18%,98.43%,1.57%,99.17%,0.83%
GARHWA,0.28%,20.80%,78.92%,0.42%,98.75%,0.83%,23.16%,76.28%,0.55%,34.12%,65.88%,16.64%,83.36%,27.46%,44.66%,27.88%,GARHWA,100.00%,0.00%,99.58%,0.42%,undefined%,undefined%,undefined%,99.17%,0.83%,41.75%,58.25%,95.80%,4.20%
EAST SINGHBUM,1.99%,71.72%,26.29%,0.14%,89.69%,10.17%,51.95%,45.85%,2.20%,54.85%,45.15%,11.35%,88.65%,95.75%,4.16%,0.09%,EAST SINGHBUM,97.46%,2.54%,91.05%,8.95%,undefined%,undefined%,undefined%,99.95%,0.05%,93.97%,6.03%,99.98%,0.02%
HAZARIBAGH,0.72%,44.06%,55.22%,0.00%,94.06%,5.94%,84.20%,13.77%,2.03%,78.99%,21.01%,0.00%,100.00%,50.87%,40.58%,8.55%,HAZARIBAGH,100.00%,0.00%,100.00%,0.00%,undefined%,undefined%,undefined%,99.86%,0.14%,98.70%,1.30%,99.13%,0.87%
DUMKA,0.08%,1.14%,98.77%,0.57%,95.51%,3.92%,18.46%,34.72%,46.81%,48.20%,51.80%,72.79%,27.21%,99.43%,0.08%,0.49%,DUMKA,98.61%,1.39%,97.79%,2.21%,undefined%,undefined%,undefined%,99.10%,0.90%,90.03%,9.97%,86.44%,13.56%
JAMTARA,0.96%,22.19%,76.84%,27.54%,58.67%,13.79%,5.81%,21.04%,73.15%,44.93%,55.07%,5.46%,94.54%,86.79%,10.57%,2.64%,JAMTARA,69.44%,30.56%,68.28%,31.72%,undefined%,undefined%,undefined%,92.09%,7.91%,30.43%,69.57%,7.14%,92.86%
DHANBAD,0.09%,7.81%,92.10%,0.34%,97.90%,1.77%,2.57%,96.85%,0.58%,55.53%,44.47%,26.32%,73.68%,98.68%,1.14%,0.18%,DHANBAD,99.89%,0.11%,89.98%,10.02%,undefined%,undefined%,undefined%,99.87%,0.13%,99.26%,0.74%,95.04%,4.96%
WEST SINGHBHUM,0.00%,37.50%,62.50%,0.00%,99.64%,0.36%,2.50%,94.46%,3.04%,43.04%,56.96%,3.93%,96.07%,100.00%,0.00%,0.00%,WEST SINGHBHUM,98.75%,1.25%,89.46%,10.54%,undefined%,undefined%,undefined%,99.64%,0.36%,65.89%,34.11%,99.82%,0.18%
CHATRA,0.83%,44.63%,54.54%,15.94%,76.47%,7.59%,67.26%,28.25%,4.49%,44.95%,55.05%,12.87%,87.13%,47.72%,42.48%,9.81%,CHATRA,91.38%,8.62%,98.97%,1.03%,undefined%,undefined%,undefined%,92.67%,7.33%,52.02%,47.98%,98.04%,1.96%
