0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,0,1,2,3,4,5,6,7,8,9,10,11,12,13
BIDAR,0.02%,59.94%,40.04%,0.28%,95.28%,4.44%,99.96%,0.02%,0.02%,75.75%,24.25%,75.61%,24.39%,5.23%,76.12%,18.64%,NICOBARS,100.00%,0.00%,100.00%,0.00%,undefined%,undefined%,undefined%,100.00%,0.00%,4.76%,95.24%,100.00%,0.00%
CHIKKABALLAPURA,0.13%,0.03%,99.84%,1.51%,98.46%,0.03%,78.31%,21.61%,0.08%,98.90%,1.10%,0.42%,99.58%,11.95%,87.94%,0.10%,SOUTH ANDAMANS,88.16%,11.84%,100.00%,0.00%,undefined%,undefined%,undefined%,99.56%,0.44%,71.49%,28.51%,99.56%,0.44%
TUMAKURU,0.06%,10.21%,89.73%,30.45%,69.26%,0.29%,48.73%,41.38%,9.89%,14.86%,85.14%,30.21%,69.79%,42.68%,44.91%,12.41%,,,,,,,,,,,,,,
BENGALURU URBAN,0.00%,6.18%,93.82%,22.42%,76.47%,1.11%,47.44%,51.82%,0.74%,35.39%,64.61%,6.36%,93.64%,69.43%,25.63%,4.94%,,,,,,,,,,,,,,
DAVANGERE,5.58%,89.42%,5.01%,28.28%,69.99%,1.74%,98.58%,1.32%,0.10%,57.69%,42.31%,24.99%,75.01%,16.69%,72.26%,11.05%,,,,,,,,,,,,,,
CHAMARAJANAGARA,38.23%,52.68%,9.09%,8.26%,84.42%,7.33%,35.56%,44.71%,19.73%,63.12%,36.88%,8.26%,91.74%,20.50%,35.76%,43.74%,,,,,,,,,,,,,,
CHITRADURGA,0.20%,26.80%,73.00%,1.70%,98.27%,0.03%,51.03%,48.74%,0.23%,46.81%,53.19%,13.37%,86.63%,13.33%,81.96%,4.71%,,,,,,,,,,,,,,
UDUPI,5.73%,36.41%,57.86%,40.76%,39.38%,19.87%,50.44%,37.29%,12.27%,71.97%,28.03%,0.81%,99.19%,96.68%,3.29%,0.04%,,,,,,,,,,,,,,
SHIVAMOGGA,14.18%,27.35%,58.47%,21.56%,52.28%,26.16%,66.34%,25.12%,8.54%,71.45%,28.55%,3.23%,96.77%,77.73%,19.04%,3.23%,,,,,,,,,,,,,,
GADAG,0.00%,99.62%,0.38%,0.02%,99.76%,0.23%,68.46%,31.52%,0.02%,9.27%,90.73%,100.00%,0.00%,0.03%,96.66%,3.31%,,,,,,,,,,,,,,
