0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
MANDSAUR,0.85%,45.92%,53.23%,0.17%,0.00%,99.83%,77.72%,21.60%,0.68%,97.28%,2.72%,11.56%,88.44%,0.00%,57.99%,42.01%
SHEOPUR,0.05%,4.05%,95.90%,0.46%,91.40%,8.14%,68.34%,31.33%,0.33%,48.13%,51.87%,54.44%,45.56%,3.27%,67.28%,29.44%
REWA,0.07%,31.95%,67.98%,0.27%,98.61%,1.12%,99.51%,0.05%,0.44%,89.63%,10.37%,2.03%,97.97%,0.20%,99.47%,0.33%
BHIND,0.00%,0.00%,100.00%,0.00%,100.00%,0.00%,0.00%,0.00%,100.00%,0.00%,100.00%,100.00%,0.00%,100.00%,0.00%,0.00%
DAMOH,0.30%,68.34%,31.36%,0.00%,87.57%,12.43%,75.44%,24.56%,0.00%,82.25%,17.75%,99.70%,0.30%,0.30%,99.56%,0.15%
UJJAIN,0.38%,5.13%,94.49%,5.35%,76.55%,18.10%,97.14%,1.89%,0.98%,67.72%,32.28%,1.44%,98.56%,0.22%,3.89%,95.89%
BETUL,0.00%,0.91%,99.09%,0.73%,82.82%,16.45%,89.20%,10.80%,0.00%,57.70%,42.30%,2.19%,97.81%,1.37%,89.06%,9.57%
RAJGARH,0.00%,4.63%,95.37%,14.59%,84.34%,1.07%,49.11%,49.47%,1.42%,53.02%,46.98%,50.89%,49.11%,0.36%,54.80%,44.84%
SEHORE,0.08%,53.08%,46.85%,0.24%,85.49%,14.27%,99.25%,0.20%,0.55%,79.57%,20.43%,46.65%,53.35%,0.04%,53.98%,45.98%
KHARGONE,0.20%,1.51%,98.29%,0.48%,90.26%,9.27%,89.20%,9.97%,0.82%,33.72%,66.28%,27.49%,72.51%,10.84%,67.87%,21.29%
GWALIOR,0.21%,0.00%,99.79%,0.21%,99.65%,0.14%,58.15%,41.23%,0.62%,100.00%,0.00%,81.49%,18.51%,0.07%,24.52%,75.41%
DATIA,0.09%,6.29%,93.62%,1.95%,93.40%,4.65%,75.11%,23.34%,1.55%,65.26%,34.74%,0.97%,99.03%,0.00%,30.96%,69.04%
DHAR,0.02%,42.93%,57.04%,0.17%,84.17%,15.66%,97.81%,2.02%,0.17%,98.52%,1.48%,71.37%,28.63%,0.06%,71.59%,28.35%
SINGRAULI,0.26%,64.15%,35.60%,0.31%,99.51%,0.18%,46.06%,53.78%,0.16%,99.41%,0.59%,98.30%,1.70%,3.14%,75.96%,20.91%
SIDHI,0.07%,54.49%,45.43%,6.18%,91.87%,1.95%,25.31%,74.10%,0.59%,84.75%,15.25%,7.14%,92.86%,20.52%,61.31%,18.18%
