0,1,2,3,4,5,6,7,8,9,10,11,12,13
MANDSAUR,96.93%,3.07%,100.00%,0.00%,undefined%,undefined%,undefined%,6.97%,93.03%,63.93%,36.07%,97.27%,2.73%
SHEOPUR,96.30%,3.70%,96.62%,3.38%,undefined%,undefined%,undefined%,92.73%,7.27%,43.99%,56.01%,99.20%,0.80%
REWA,99.38%,0.62%,99.95%,0.05%,undefined%,undefined%,undefined%,51.76%,48.24%,9.16%,90.84%,96.88%,3.12%
BHIND,100.00%,0.00%,100.00%,0.00%,undefined%,undefined%,undefined%,100.00%,0.00%,0.00%,100.00%,100.00%,0.00%
DAMOH,100.00%,0.00%,100.00%,0.00%,undefined%,undefined%,undefined%,29.44%,70.56%,100.00%,0.00%,100.00%,0.00%
UJJAIN,99.60%,0.40%,96.74%,3.26%,undefined%,undefined%,undefined%,41.21%,58.79%,39.17%,60.83%,98.91%,1.09%
BETUL,99.32%,0.68%,96.76%,3.24%,undefined%,undefined%,undefined%,96.08%,3.92%,34.52%,65.48%,99.95%,0.05%
RAJGARH,82.21%,17.79%,86.48%,13.52%,undefined%,undefined%,undefined%,89.68%,10.32%,43.06%,56.94%,96.80%,3.20%
SEHORE,99.09%,0.91%,98.90%,1.10%,undefined%,undefined%,undefined%,81.93%,18.07%,72.19%,27.81%,94.57%,5.43%
KHARGONE,76.09%,23.91%,96.88%,3.12%,undefined%,undefined%,undefined%,33.26%,66.74%,38.75%,61.25%,80.73%,19.27%
GWALIOR,99.93%,0.07%,100.00%,0.00%,undefined%,undefined%,undefined%,93.09%,6.91%,50.17%,49.83%,99.79%,0.21%
DATIA,97.55%,2.45%,96.12%,3.88%,undefined%,undefined%,undefined%,52.28%,47.72%,56.18%,43.82%,90.33%,9.67%
DHAR,87.59%,12.41%,99.89%,0.11%,undefined%,undefined%,undefined%,59.35%,40.65%,52.58%,47.42%,62.01%,37.99%
SINGRAULI,99.94%,0.06%,99.95%,0.05%,undefined%,undefined%,undefined%,90.68%,9.32%,84.40%,15.60%,95.94%,4.06%
SIDHI,86.58%,13.42%,95.44%,4.56%,undefined%,undefined%,undefined%,22.38%,77.62%,5.40%,94.60%,99.63%,0.37%
JHABUA,98.90%,1.10%,90.89%,9.11%,undefined%,undefined%,undefined%,42.02%,57.98%,70.09%,29.91%,99.74%,0.26%
SAGAR,100.00%,0.00%,83.33%,16.67%,undefined%,undefined%,undefined%,99.07%,0.93%,64.81%,35.19%,100.00%,0.00%
SEONI,100.00%,0.00%,100.00%,0.00%,undefined%,undefined%,undefined%,100.00%,0.00%,0.00%,100.00%,100.00%,0.00%
DEWAS,100.00%,0.00%,100.00%,0.00%,undefined%,undefined%,undefined%,96.20%,3.80%,56.73%,43.27%,74.11%,25.89%
SATNA,62.50%,37.50%,100.00%,0.00%,undefined%,undefined%,undefined%,100.00%,0.00%,50.00%,50.00%,100.00%,0.00%
JABALPUR,99.93%,0.07%,100.00%,0.00%,undefined%,undefined%,undefined%,98.06%,1.94%,90.38%,9.62%,99.79%,0.21%
DINDORI,100.00%,0.00%,100.00%,0.00%,undefined%,undefined%,undefined%,98.78%,1.22%,55.24%,44.76%,99.94%,0.06%
MAUGANJ,99.05%,0.95%,100.00%,0.00%,undefined%,undefined%,undefined%,54.29%,45.71%,5.71%,94.29%,97.14%,2.86%
NARSINGHPUR,100.00%,0.00%,98.02%,1.98%,undefined%,undefined%,undefined%,35.10%,64.90%,84.44%,15.56%,98.83%,1.17%
ALIRAJPUR,62.75%,37.25%,69.61%,30.39%,undefined%,undefined%,undefined%,69.02%,30.98%,11.23%,88.77%,93.37%,6.63%
CHHINDWARA,98.94%,1.06%,99.35%,0.65%,undefined%,undefined%,undefined%,84.80%,15.20%,52.75%,47.25%,96.25%,3.75%
BURHANPUR,77.94%,22.06%,94.12%,5.88%,undefined%,undefined%,undefined%,32.35%,67.65%,67.65%,32.35%,63.24%,36.76%
GUNA,98.44%,1.56%,99.95%,0.05%,undefined%,undefined%,undefined%,83.54%,16.46%,53.35%,46.65%,95.99%,4.01%
MORENA,85.92%,14.08%,92.79%,7.21%,undefined%,undefined%,undefined%,68.14%,31.86%,11.47%,88.53%,80.21%,19.79%
KATNI,91.34%,8.66%,100.00%,0.00%,undefined%,undefined%,undefined%,90.94%,9.06%,8.27%,91.73%,89.76%,10.24%
NEEMUCH,99.65%,0.35%,100.00%,0.00%,undefined%,undefined%,undefined%,61.25%,38.75%,42.01%,57.99%,98.27%,1.73%
SHAJAPUR,82.95%,17.05%,86.92%,13.08%,undefined%,undefined%,undefined%,65.38%,34.62%,33.77%,66.23%,94.34%,5.66%
SHAHDOL,100.00%,0.00%,100.00%,0.00%,undefined%,undefined%,undefined%,100.00%,0.00%,0.00%,100.00%,100.00%,0.00%
CHHATARPUR,100.00%,0.00%,0.00%,0.00%,undefined%,undefined%,undefined%,33.33%,66.67%,100.00%,0.00%,100.00%,0.00%
MANDLA,73.96%,26.04%,94.10%,5.90%,undefined%,undefined%,undefined%,12.56%,87.44%,45.25%,54.75%,56.58%,43.42%
RATLAM,99.93%,0.07%,99.97%,0.03%,undefined%,undefined%,undefined%,95.59%,4.41%,81.72%,18.28%,99.48%,0.52%
BALAGHAT,99.66%,0.34%,96.67%,3.33%,undefined%,undefined%,undefined%,99.66%,0.34%,92.23%,7.77%,100.00%,0.00%
UMARIA,100.00%,0.00%,100.00%,0.00%,undefined%,undefined%,undefined%,90.16%,9.84%,29.91%,70.09%,94.96%,5.04%
EAST NIMAR,99.69%,0.31%,97.62%,2.38%,undefined%,undefined%,undefined%,95.60%,4.40%,71.41%,28.59%,99.73%,0.27%
VIDISHA,99.64%,0.36%,99.86%,0.14%,undefined%,undefined%,undefined%,98.22%,1.78%,93.58%,6.42%,99.46%,0.54%
HARDA,100.00%,0.00%,100.00%,0.00%,undefined%,undefined%,undefined%,100.00%,0.00%,62.86%,37.14%,100.00%,0.00%
RAISEN,99.93%,0.07%,96.38%,3.62%,undefined%,undefined%,undefined%,96.84%,3.16%,62.95%,37.05%,99.96%,0.04%
PANNA,100.00%,0.00%,100.00%,0.00%,undefined%,undefined%,undefined%,72.86%,27.14%,2.06%,97.94%,99.57%,0.43%
SHIVPURI,80.53%,19.47%,97.19%,2.81%,undefined%,undefined%,undefined%,88.20%,11.80%,45.56%,54.44%,97.64%,2.36%
ASHOKNAGAR,99.96%,0.04%,99.82%,0.18%,undefined%,undefined%,undefined%,94.40%,5.60%,45.70%,54.30%,99.82%,0.18%
TIKAMGARH,100.00%,0.00%,0.00%,0.00%,undefined%,undefined%,undefined%,100.00%,0.00%,0.00%,100.00%,100.00%,0.00%
BHOPAL,100.00%,0.00%,100.00%,0.00%,undefined%,undefined%,undefined%,85.35%,14.65%,45.86%,54.14%,98.09%,1.91%
INDORE,99.25%,0.75%,100.00%,0.00%,undefined%,undefined%,undefined%,87.02%,12.98%,62.01%,37.99%,89.19%,10.81%
