0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,0,1,2,3,4,5,6,7,8,9,10,11,12,13
MANDSAUR,0.85%,45.92%,53.23%,0.17%,0.00%,99.83%,77.72%,21.60%,0.68%,97.28%,2.72%,11.56%,88.44%,0.00%,57.99%,42.01%,MANDSAUR,96.93%,3.07%,100.00%,0.00%,undefined%,undefined%,undefined%,6.97%,93.03%,63.93%,36.07%,97.27%,2.73%
SHEOPUR,0.05%,4.05%,95.90%,0.46%,91.40%,8.14%,68.34%,31.33%,0.33%,48.13%,51.87%,54.44%,45.56%,3.27%,67.28%,29.44%,SHEOPUR,96.30%,3.70%,96.62%,3.38%,undefined%,undefined%,undefined%,92.73%,7.27%,43.99%,56.01%,99.20%,0.80%
REWA,0.07%,31.95%,67.98%,0.27%,98.61%,1.12%,99.51%,0.05%,0.44%,89.63%,10.37%,2.03%,97.97%,0.20%,99.47%,0.33%,REWA,99.38%,0.62%,99.95%,0.05%,undefined%,undefined%,undefined%,51.76%,48.24%,9.16%,90.84%,96.88%,3.12%
BHIND,0.00%,0.00%,100.00%,0.00%,100.00%,0.00%,0.00%,0.00%,100.00%,0.00%,100.00%,100.00%,0.00%,100.00%,0.00%,0.00%,BHIND,100.00%,0.00%,100.00%,0.00%,undefined%,undefined%,undefined%,100.00%,0.00%,0.00%,100.00%,100.00%,0.00%
DAMOH,0.30%,68.34%,31.36%,0.00%,87.57%,12.43%,75.44%,24.56%,0.00%,82.25%,17.75%,99.70%,0.30%,0.30%,99.56%,0.15%,DAMOH,100.00%,0.00%,100.00%,0.00%,undefined%,undefined%,undefined%,29.44%,70.56%,100.00%,0.00%,100.00%,0.00%
UJJAIN,0.38%,5.13%,94.49%,5.35%,76.55%,18.10%,97.14%,1.89%,0.98%,67.72%,32.28%,1.44%,98.56%,0.22%,3.89%,95.89%,UJJAIN,99.60%,0.40%,96.74%,3.26%,undefined%,undefined%,undefined%,41.21%,58.79%,39.17%,60.83%,98.91%,1.09%
BETUL,0.00%,0.91%,99.09%,0.73%,82.82%,16.45%,89.20%,10.80%,0.00%,57.70%,42.30%,2.19%,97.81%,1.37%,89.06%,9.57%,BETUL,99.32%,0.68%,96.76%,3.24%,undefined%,undefined%,undefined%,96.08%,3.92%,34.52%,65.48%,99.95%,0.05%
RAJGARH,0.00%,4.63%,95.37%,14.59%,84.34%,1.07%,49.11%,49.47%,1.42%,53.02%,46.98%,50.89%,49.11%,0.36%,54.80%,44.84%,RAJGARH,82.21%,17.79%,86.48%,13.52%,undefined%,undefined%,undefined%,89.68%,10.32%,43.06%,56.94%,96.80%,3.20%
SEHORE,0.08%,53.08%,46.85%,0.24%,85.49%,14.27%,99.25%,0.20%,0.55%,79.57%,20.43%,46.65%,53.35%,0.04%,53.98%,45.98%,SEHORE,99.09%,0.91%,98.90%,1.10%,undefined%,undefined%,undefined%,81.93%,18.07%,72.19%,27.81%,94.57%,5.43%
KHARGONE,0.20%,1.51%,98.29%,0.48%,90.26%,9.27%,89.20%,9.97%,0.82%,33.72%,66.28%,27.49%,72.51%,10.84%,67.87%,21.29%,KHARGONE,76.09%,23.91%,96.88%,3.12%,undefined%,undefined%,undefined%,33.26%,66.74%,38.75%,61.25%,80.73%,19.27%
GWALIOR,0.21%,0.00%,99.79%,0.21%,99.65%,0.14%,58.15%,41.23%,0.62%,100.00%,0.00%,81.49%,18.51%,0.07%,24.52%,75.41%,GWALIOR,99.93%,0.07%,100.00%,0.00%,undefined%,undefined%,undefined%,93.09%,6.91%,50.17%,49.83%,99.79%,0.21%
DATIA,0.09%,6.29%,93.62%,1.95%,93.40%,4.65%,75.11%,23.34%,1.55%,65.26%,34.74%,0.97%,99.03%,0.00%,30.96%,69.04%,DATIA,97.55%,2.45%,96.12%,3.88%,undefined%,undefined%,undefined%,52.28%,47.72%,56.18%,43.82%,90.33%,9.67%
