0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
BULDHANA,0.18%,0.40%,99.42%,0.29%,73.79%,25.92%,99.24%,0.66%,0.11%,76.64%,23.36%,1.20%,98.80%,0.44%,33.13%,66.44%
RATNAGIRI,26.59%,43.15%,30.26%,0.49%,42.45%,57.06%,59.15%,28.55%,12.30%,98.74%,1.26%,4.33%,95.67%,75.25%,23.38%,1.36%
CHANDRAPUR,0.01%,21.39%,78.59%,0.19%,97.26%,2.55%,88.10%,10.89%,1.01%,11.18%,88.82%,64.42%,35.58%,3.46%,53.60%,42.95%
DHARASHIV,0.00%,0.00%,100.00%,0.19%,6.30%,93.51%,93.34%,6.06%,0.59%,3.03%,96.97%,30.43%,69.57%,0.09%,48.41%,51.49%
SINDHUDURG,0.45%,30.09%,69.46%,0.20%,59.10%,40.70%,96.48%,2.93%,0.59%,96.96%,3.04%,7.78%,92.22%,69.61%,30.29%,0.10%
BHANDARA,0.00%,54.33%,45.67%,2.62%,61.94%,35.43%,80.31%,19.69%,0.00%,58.01%,41.99%,16.54%,83.46%,98.95%,0.79%,0.26%
BEED,0.29%,41.17%,58.53%,0.95%,84.18%,14.87%,88.21%,10.84%,0.95%,72.38%,27.62%,1.17%,98.83%,0.00%,4.62%,95.38%
WARDHA,0.00%,8.70%,91.30%,16.57%,40.75%,42.68%,96.55%,2.62%,0.83%,20.80%,79.20%,25.67%,74.33%,0.28%,26.85%,72.88%
NASHIK,0.07%,8.61%,91.33%,0.42%,95.88%,3.70%,88.61%,11.22%,0.17%,63.50%,36.50%,5.05%,94.95%,12.19%,24.79%,63.02%
HINGOLI,0.00%,64.12%,35.88%,0.41%,79.07%,20.52%,99.68%,0.32%,0.00%,34.50%,65.50%,0.69%,99.31%,0.23%,18.05%,81.72%
PALGHAR,0.38%,17.56%,82.06%,21.73%,58.82%,19.45%,42.24%,33.16%,24.60%,91.95%,8.05%,0.08%,99.92%,33.69%,50.26%,16.05%
SOLAPUR,0.13%,0.00%,99.87%,0.20%,57.43%,42.37%,86.83%,10.50%,2.67%,29.47%,70.53%,7.82%,92.18%,0.07%,2.48%,97.46%
PARBHANI,0.06%,0.99%,98.95%,0.20%,72.87%,26.93%,99.62%,0.03%,0.35%,2.19%,97.81%,0.88%,99.12%,0.00%,9.63%,90.37%
AKOLA,0.20%,1.13%,98.67%,17.33%,76.83%,5.84%,93.86%,1.47%,4.66%,23.51%,76.49%,10.65%,89.35%,0.00%,0.59%,99.41%
AMRAVATI,0.09%,0.29%,99.62%,0.23%,33.38%,66.38%,91.83%,7.00%,1.17%,15.08%,84.92%,2.23%,97.77%,5.24%,25.48%,69.28%
RAIGAD,83.50%,14.41%,2.09%,8.14%,53.91%,37.95%,95.48%,3.37%,1.15%,85.37%,14.63%,37.41%,62.59%,20.88%,72.77%,6.35%
WASHIM,0.37%,2.29%,97.34%,1.52%,59.56%,38.93%,89.39%,8.74%,1.86%,87.71%,12.29%,2.27%,97.73%,0.13%,5.65%,94.22%
JALNA,0.00%,0.06%,99.94%,0.06%,93.79%,6.15%,97.89%,2.11%,0.00%,8.85%,91.15%,41.12%,58.88%,0.03%,0.11%,99.86%
KOLHAPUR,6.88%,37.10%,56.01%,79.77%,17.98%,2.26%,73.99%,21.59%,4.42%,89.44%,10.56%,6.88%,93.12%,31.64%,50.81%,17.55%
