0,1,2,3,4,5,6,7,8,9,10,11,12,13
BULDHANA,98.65%,1.35%,100.00%,0.00%,undefined%,undefined%,undefined%,1.71%,98.29%,15.52%,84.48%,96.94%,3.06%
RATNAGIRI,99.76%,0.24%,93.49%,6.51%,undefined%,undefined%,undefined%,79.07%,20.93%,72.82%,27.18%,98.95%,1.05%
CHANDRAPUR,91.02%,8.98%,98.48%,1.52%,undefined%,undefined%,undefined%,70.65%,29.35%,65.86%,34.14%,94.57%,5.43%
DHARASHIV,98.39%,1.61%,99.98%,0.02%,undefined%,undefined%,undefined%,8.95%,91.05%,22.92%,77.08%,98.55%,1.45%
SINDHUDURG,98.61%,1.39%,19.73%,80.27%,undefined%,undefined%,undefined%,90.58%,9.42%,81.42%,18.58%,96.98%,3.02%
BHANDARA,100.00%,0.00%,39.11%,60.89%,undefined%,undefined%,undefined%,53.28%,46.72%,54.59%,45.41%,92.61%,7.39%
BEED,98.68%,1.32%,100.00%,0.00%,undefined%,undefined%,undefined%,2.78%,97.22%,26.30%,73.70%,78.78%,21.22%
WARDHA,97.24%,2.76%,97.58%,2.42%,undefined%,undefined%,undefined%,33.33%,66.67%,44.37%,55.63%,88.49%,11.51%
NASHIK,99.92%,0.08%,99.57%,0.43%,undefined%,undefined%,undefined%,57.87%,42.13%,47.48%,52.52%,98.48%,1.52%
HINGOLI,99.41%,0.59%,97.62%,2.38%,undefined%,undefined%,undefined%,72.61%,27.39%,56.33%,43.67%,98.35%,1.65%
PALGHAR,100.00%,0.00%,3.51%,96.49%,undefined%,undefined%,undefined%,96.52%,3.48%,80.85%,19.15%,100.00%,0.00%
SOLAPUR,96.35%,3.65%,2.09%,97.91%,undefined%,undefined%,undefined%,0.07%,99.93%,4.32%,95.68%,25.79%,74.21%
PARBHANI,99.97%,0.03%,99.33%,0.67%,undefined%,undefined%,undefined%,43.78%,56.22%,28.53%,71.47%,98.77%,1.23%
AKOLA,99.61%,0.39%,1.47%,98.53%,undefined%,undefined%,undefined%,0.00%,100.00%,10.41%,89.59%,63.07%,36.93%
AMRAVATI,99.76%,0.24%,79.17%,20.83%,undefined%,undefined%,undefined%,11.86%,88.14%,85.22%,14.78%,23.58%,76.42%
RAIGAD,100.00%,0.00%,12.68%,87.32%,undefined%,undefined%,undefined%,97.52%,2.48%,78.02%,21.98%,99.83%,0.17%
WASHIM,100.00%,0.00%,99.91%,0.09%,undefined%,undefined%,undefined%,19.11%,80.89%,82.03%,17.97%,97.74%,2.26%
JALNA,99.92%,0.08%,98.79%,1.21%,undefined%,undefined%,undefined%,0.90%,99.10%,78.39%,21.61%,99.78%,0.22%
KOLHAPUR,98.82%,1.18%,99.98%,0.02%,undefined%,undefined%,undefined%,42.34%,57.66%,17.86%,82.14%,99.36%,0.64%
DHULE,100.00%,0.00%,99.50%,0.50%,undefined%,undefined%,undefined%,66.89%,33.11%,66.71%,33.29%,99.58%,0.42%
Chhatrapati Sambhajinagar,98.91%,1.09%,94.78%,5.22%,undefined%,undefined%,undefined%,1.81%,98.19%,28.35%,71.65%,91.30%,8.70%
THANE,99.85%,0.15%,8.52%,91.48%,undefined%,undefined%,undefined%,98.34%,1.66%,93.25%,6.75%,99.90%,0.10%
LATUR,100.00%,0.00%,100.00%,0.00%,undefined%,undefined%,undefined%,63.89%,36.11%,42.62%,57.38%,99.67%,0.33%
PUNE,79.27%,20.73%,87.03%,12.97%,undefined%,undefined%,undefined%,7.08%,92.92%,8.67%,91.33%,36.42%,63.58%
GADCHIROLI,49.88%,50.12%,87.20%,12.80%,undefined%,undefined%,undefined%,21.48%,78.52%,13.24%,86.76%,14.64%,85.36%
NAGPUR,99.30%,0.70%,95.94%,4.06%,undefined%,undefined%,undefined%,19.00%,81.00%,59.16%,40.84%,89.00%,11.00%
SATARA,99.42%,0.58%,0.58%,99.42%,undefined%,undefined%,undefined%,45.08%,54.92%,38.99%,61.01%,84.18%,15.82%
NANDED,99.98%,0.02%,99.21%,0.79%,undefined%,undefined%,undefined%,71.97%,28.03%,89.14%,10.86%,99.57%,0.43%
NANDURBAR,99.96%,0.04%,99.54%,0.46%,undefined%,undefined%,undefined%,60.58%,39.42%,44.51%,55.49%,99.52%,0.48%
AHMEDNAGAR,99.36%,0.64%,64.55%,35.45%,undefined%,undefined%,undefined%,8.93%,91.07%,24.21%,75.79%,94.51%,5.49%
SANGLI,99.74%,0.26%,100.00%,0.00%,undefined%,undefined%,undefined%,57.72%,42.28%,72.58%,27.42%,94.68%,5.32%
JALGAON,100.00%,0.00%,99.69%,0.31%,undefined%,undefined%,undefined%,4.81%,95.19%,31.46%,68.54%,99.20%,0.80%
GONDIA,31.82%,68.18%,86.69%,13.31%,undefined%,undefined%,undefined%,99.34%,0.66%,15.95%,84.05%,96.19%,3.81%
YAVATMAL,99.59%,0.41%,100.00%,0.00%,undefined%,undefined%,undefined%,0.00%,100.00%,65.98%,34.02%,99.17%,0.83%
