0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
EAST JAINTIA HILLS,0.17%,83.46%,16.38%,0.33%,99.58%,0.08%,27.12%,72.88%,0.00%,100.00%,0.00%,2.24%,97.76%,100.00%,0.00%,0.00%
RI BHOI,0.20%,25.51%,74.29%,18.52%,56.28%,25.20%,52.63%,34.51%,12.85%,98.18%,1.82%,4.15%,95.85%,97.47%,2.43%,0.10%
EAST KHASI HILLS,0.15%,63.29%,36.56%,32.50%,46.99%,20.51%,25.89%,45.37%,28.73%,98.34%,1.66%,1.37%,98.63%,99.56%,0.24%,0.20%
SOUTH GARO HILLS,1.30%,86.63%,12.07%,0.00%,86.37%,13.63%,1.30%,88.37%,10.33%,99.48%,0.52%,0.43%,99.57%,100.00%,0.00%,0.00%
WEST KHASI HILLS,0.13%,62.83%,37.05%,6.51%,66.58%,26.91%,28.29%,48.31%,23.40%,99.37%,0.63%,0.25%,99.75%,99.87%,0.00%,0.13%
EASTERN WEST KHASI HILLS,0.43%,62.03%,37.54%,20.77%,51.58%,27.65%,59.74%,32.52%,7.74%,95.99%,4.01%,0.72%,99.28%,99.57%,0.14%,0.29%
EAST GARO HILLS,3.69%,91.33%,4.98%,0.20%,80.58%,19.22%,2.79%,90.54%,6.67%,99.10%,0.90%,0.60%,99.40%,99.90%,0.00%,0.10%
WEST GARO HILLS,2.16%,76.43%,21.42%,0.08%,85.36%,14.56%,9.17%,85.13%,5.70%,99.23%,0.77%,0.46%,99.54%,99.23%,0.62%,0.15%
SOUTH WEST GARO HILLS,3.50%,76.95%,19.55%,0.79%,78.86%,20.35%,14.63%,70.43%,14.94%,99.68%,0.32%,0.64%,99.36%,98.41%,1.43%,0.16%
SOUTH WEST KHASI HILLS,0.00%,51.27%,48.73%,30.51%,49.15%,20.34%,33.26%,52.54%,14.19%,98.09%,1.91%,0.85%,99.15%,99.79%,0.00%,0.21%
NORTH GARO HILLS,1.85%,88.99%,9.16%,0.33%,84.95%,14.72%,24.75%,70.45%,4.80%,98.90%,1.10%,0.22%,99.78%,100.00%,0.00%,0.00%
WEST JAINTIA HILLS,0.00%,67.21%,32.79%,0.22%,99.55%,0.22%,39.43%,60.12%,0.45%,99.27%,0.73%,5.30%,94.70%,100.00%,0.00%,0.00%
