0,1,2,3,4,5,6,7,8,9,10,11,12,13
EAST JAINTIA HILLS,99.92%,0.08%,100.00%,0.00%,undefined%,undefined%,undefined%,68.50%,31.50%,82.54%,17.46%,86.78%,13.22%
RI BHOI,1.32%,98.68%,68.32%,31.68%,undefined%,undefined%,undefined%,14.07%,85.93%,25.91%,74.09%,30.16%,69.84%
EAST KHASI HILLS,1.77%,98.23%,67.48%,32.52%,undefined%,undefined%,undefined%,6.08%,93.92%,13.49%,86.51%,7.65%,92.35%
SOUTH GARO HILLS,75.20%,24.80%,92.28%,7.72%,undefined%,undefined%,undefined%,93.58%,6.42%,47.53%,52.47%,84.42%,15.58%
WEST KHASI HILLS,0.13%,99.87%,45.68%,54.32%,undefined%,undefined%,undefined%,2.13%,97.87%,29.23%,70.77%,0.75%,99.25%
EASTERN WEST KHASI HILLS,1.86%,98.14%,73.50%,26.50%,undefined%,undefined%,undefined%,9.31%,90.69%,15.40%,84.60%,3.30%,96.70%
EAST GARO HILLS,85.73%,14.27%,81.60%,18.40%,undefined%,undefined%,undefined%,95.12%,4.88%,56.43%,43.57%,88.96%,11.04%
WEST GARO HILLS,59.95%,40.05%,88.96%,11.04%,undefined%,undefined%,undefined%,72.65%,27.35%,30.45%,69.55%,75.04%,24.96%
SOUTH WEST GARO HILLS,58.09%,41.91%,96.06%,3.94%,undefined%,undefined%,undefined%,82.83%,17.17%,14.83%,85.17%,81.50%,18.50%
SOUTH WEST KHASI HILLS,0.42%,99.58%,63.56%,36.44%,undefined%,undefined%,undefined%,10.83%,89.17%,8.07%,91.93%,4.07%,95.93%
NORTH GARO HILLS,69.75%,30.25%,82.51%,17.49%,undefined%,undefined%,undefined%,95.42%,4.58%,36.93%,63.07%,87.33%,12.67%
WEST JAINTIA HILLS,99.94%,0.06%,0.00%,0.00%,undefined%,undefined%,undefined%,70.50%,29.50%,79.62%,20.38%,88.40%,11.60%
