0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,0,1,2,3,4,5,6,7,8,9,10,11,12,13
EAST JAINTIA HILLS,0.17%,83.46%,16.38%,0.33%,99.58%,0.08%,27.12%,72.88%,0.00%,100.00%,0.00%,2.24%,97.76%,100.00%,0.00%,0.00%,EAST JAINTIA HILLS,99.92%,0.08%,100.00%,0.00%,undefined%,undefined%,undefined%,68.50%,31.50%,82.54%,17.46%,86.78%,13.22%
RI BHOI,0.20%,25.51%,74.29%,18.52%,56.28%,25.20%,52.63%,34.51%,12.85%,98.18%,1.82%,4.15%,95.85%,97.47%,2.43%,0.10%,RI BHOI,1.32%,98.68%,68.32%,31.68%,undefined%,undefined%,undefined%,14.07%,85.93%,25.91%,74.09%,30.16%,69.84%
EAST KHASI HILLS,0.15%,63.29%,36.56%,32.50%,46.99%,20.51%,25.89%,45.37%,28.73%,98.34%,1.66%,1.37%,98.63%,99.56%,0.24%,0.20%,EAST KHASI HILLS,1.77%,98.23%,67.48%,32.52%,undefined%,undefined%,undefined%,6.08%,93.92%,13.49%,86.51%,7.65%,92.35%
SOUTH GARO HILLS,1.30%,86.63%,12.07%,0.00%,86.37%,13.63%,1.30%,88.37%,10.33%,99.48%,0.52%,0.43%,99.57%,100.00%,0.00%,0.00%,SOUTH GARO HILLS,75.20%,24.80%,92.28%,7.72%,undefined%,undefined%,undefined%,93.58%,6.42%,47.53%,52.47%,84.42%,15.58%
WEST KHASI HILLS,0.13%,62.83%,37.05%,6.51%,66.58%,26.91%,28.29%,48.31%,23.40%,99.37%,0.63%,0.25%,99.75%,99.87%,0.00%,0.13%,WEST KHASI HILLS,0.13%,99.87%,45.68%,54.32%,undefined%,undefined%,undefined%,2.13%,97.87%,29.23%,70.77%,0.75%,99.25%
EASTERN WEST KHASI HILLS,0.43%,62.03%,37.54%,20.77%,51.58%,27.65%,59.74%,32.52%,7.74%,95.99%,4.01%,0.72%,99.28%,99.57%,0.14%,0.29%,EASTERN WEST KHASI HILLS,1.86%,98.14%,73.50%,26.50%,undefined%,undefined%,undefined%,9.31%,90.69%,15.40%,84.60%,3.30%,96.70%
EAST GARO HILLS,3.69%,91.33%,4.98%,0.20%,80.58%,19.22%,2.79%,90.54%,6.67%,99.10%,0.90%,0.60%,99.40%,99.90%,0.00%,0.10%,EAST GARO HILLS,85.73%,14.27%,81.60%,18.40%,undefined%,undefined%,undefined%,95.12%,4.88%,56.43%,43.57%,88.96%,11.04%
WEST GARO HILLS,2.16%,76.43%,21.42%,0.08%,85.36%,14.56%,9.17%,85.13%,5.70%,99.23%,0.77%,0.46%,99.54%,99.23%,0.62%,0.15%,WEST GARO HILLS,59.95%,40.05%,88.96%,11.04%,undefined%,undefined%,undefined%,72.65%,27.35%,30.45%,69.55%,75.04%,24.96%
SOUTH WEST GARO HILLS,3.50%,76.95%,19.55%,0.79%,78.86%,20.35%,14.63%,70.43%,14.94%,99.68%,0.32%,0.64%,99.36%,98.41%,1.43%,0.16%,SOUTH WEST GARO HILLS,58.09%,41.91%,96.06%,3.94%,undefined%,undefined%,undefined%,82.83%,17.17%,14.83%,85.17%,81.50%,18.50%
SOUTH WEST KHASI HILLS,0.00%,51.27%,48.73%,30.51%,49.15%,20.34%,33.26%,52.54%,14.19%,98.09%,1.91%,0.85%,99.15%,99.79%,0.00%,0.21%,SOUTH WEST KHASI HILLS,0.42%,99.58%,63.56%,36.44%,undefined%,undefined%,undefined%,10.83%,89.17%,8.07%,91.93%,4.07%,95.93%
NORTH GARO HILLS,1.85%,88.99%,9.16%,0.33%,84.95%,14.72%,24.75%,70.45%,4.80%,98.90%,1.10%,0.22%,99.78%,100.00%,0.00%,0.00%,NORTH GARO HILLS,69.75%,30.25%,82.51%,17.49%,undefined%,undefined%,undefined%,95.42%,4.58%,36.93%,63.07%,87.33%,12.67%
WEST JAINTIA HILLS,0.00%,67.21%,32.79%,0.22%,99.55%,0.22%,39.43%,60.12%,0.45%,99.27%,0.73%,5.30%,94.70%,100.00%,0.00%,0.00%,WEST JAINTIA HILLS,99.94%,0.06%,0.00%,0.00%,undefined%,undefined%,undefined%,70.50%,29.50%,79.62%,20.38%,88.40%,11.60%
