0,1,2,3,4,5,6,7,8,9,10,11,12,13
WOKHA,86.36%,13.64%,93.64%,6.36%,undefined%,undefined%,undefined%,49.86%,50.14%,79.57%,20.43%,64.88%,35.12%
KIPHIRE,96.54%,3.46%,99.58%,0.42%,undefined%,undefined%,undefined%,79.66%,20.34%,87.11%,12.89%,88.89%,11.11%
MON,99.38%,0.63%,100.00%,0.00%,undefined%,undefined%,undefined%,99.75%,0.25%,100.00%,0.00%,96.68%,3.32%
Chumoukedima,99.48%,0.52%,36.13%,63.87%,undefined%,undefined%,undefined%,99.74%,0.26%,92.93%,7.07%,6.65%,93.35%
PEREN,88.49%,11.51%,100.00%,0.00%,undefined%,undefined%,undefined%,99.25%,0.75%,69.47%,30.53%,99.75%,0.25%
TUENSANG,91.04%,8.96%,99.33%,0.67%,undefined%,undefined%,undefined%,60.97%,39.03%,87.96%,12.04%,63.39%,36.61%
ZUNHEBOTO,99.88%,0.13%,87.00%,13.00%,undefined%,undefined%,undefined%,81.50%,18.50%,77.19%,22.81%,99.94%,0.06%
KOHIMA,99.20%,0.80%,94.59%,5.41%,undefined%,undefined%,undefined%,96.11%,3.89%,69.40%,30.60%,69.17%,30.83%
LONGLENG,100.00%,0.00%,100.00%,0.00%,undefined%,undefined%,undefined%,93.00%,7.00%,100.00%,0.00%,98.67%,1.33%
PHEK,97.53%,2.47%,97.50%,2.50%,undefined%,undefined%,undefined%,72.24%,27.76%,89.38%,10.63%,51.88%,48.13%
Noklak,71.43%,28.57%,100.00%,0.00%,undefined%,undefined%,undefined%,0.00%,100.00%,85.71%,14.29%,0.00%,100.00%
MOKOKCHUNG,72.53%,27.47%,100.00%,0.00%,undefined%,undefined%,undefined%,99.94%,0.06%,74.05%,25.95%,77.17%,22.83%
Tseminyu,99.75%,0.25%,98.52%,1.48%,undefined%,undefined%,undefined%,99.26%,0.74%,51.37%,48.63%,100.00%,0.00%
DIMAPUR,92.71%,7.29%,53.83%,46.17%,undefined%,undefined%,undefined%,99.88%,0.12%,78.74%,21.26%,37.47%,62.53%
