0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
MALKANGIRI,0.00%,0.00%,100.00%,0.00%,100.00%,0.00%,100.00%,0.00%,0.00%,0.00%,100.00%,0.00%,100.00%,100.00%,0.00%,0.00%
KANDHAMAL,0.00%,0.00%,100.00%,0.00%,100.00%,0.00%,100.00%,0.00%,0.00%,50.00%,50.00%,0.00%,100.00%,100.00%,0.00%,0.00%
NABARANGPUR,0.00%,0.00%,100.00%,0.30%,45.31%,54.40%,47.69%,42.03%,10.28%,2.09%,97.91%,10.43%,89.57%,94.34%,5.51%,0.15%
MAYURBHANJ,0.00%,33.33%,66.67%,0.00%,0.00%,100.00%,0.00%,100.00%,0.00%,50.00%,50.00%,0.00%,100.00%,100.00%,0.00%,0.00%
DHENKANAL,0.00%,1.45%,98.55%,23.19%,26.09%,50.72%,92.75%,7.25%,0.00%,1.45%,98.55%,1.45%,98.55%,62.32%,37.68%,0.00%
ANUGUL,0.00%,40.00%,60.00%,0.00%,20.00%,80.00%,100.00%,0.00%,0.00%,100.00%,0.00%,0.00%,100.00%,60.00%,20.00%,20.00%
SUNDARGARH,0.00%,0.00%,0.00%,0.00%,100.00%,0.00%,75.00%,25.00%,0.00%,75.00%,25.00%,0.00%,100.00%,50.00%,50.00%,0.00%
NAYAGARH,1.39%,16.53%,82.08%,3.42%,92.15%,4.43%,30.34%,66.69%,2.98%,54.15%,45.85%,2.79%,97.21%,77.64%,22.23%,0.13%
KALAHANDI,0.00%,96.86%,3.14%,0.00%,99.37%,0.63%,100.00%,0.00%,0.00%,8.18%,91.82%,33.96%,66.04%,93.08%,6.92%,0.00%
GANJAM,0.00%,0.00%,100.00%,6.25%,93.75%,0.00%,0.00%,0.00%,100.00%,100.00%,0.00%,100.00%,0.00%,43.75%,50.00%,6.25%
DEOGARH,0.00%,0.96%,99.04%,0.00%,10.34%,89.66%,62.50%,37.02%,0.48%,14.90%,85.10%,4.09%,95.91%,38.94%,59.86%,1.20%
SAMBALPUR,1.48%,35.82%,62.69%,19.34%,35.31%,45.35%,62.97%,23.73%,13.30%,80.69%,19.31%,8.20%,91.80%,82.73%,15.32%,1.96%
KENDUJHAR,0.00%,0.00%,100.00%,0.00%,100.00%,0.00%,0.00%,100.00%,0.00%,100.00%,0.00%,0.00%,100.00%,0.00%,0.00%,100.00%
SONEPUR,0.00%,0.00%,100.00%,100.00%,0.00%,0.00%,100.00%,0.00%,0.00%,0.00%,100.00%,0.00%,100.00%,0.00%,100.00%,0.00%
JAJAPUR,0.00%,0.00%,100.00%,16.67%,33.33%,50.00%,66.67%,33.33%,0.00%,16.67%,83.33%,33.33%,66.67%,66.67%,33.33%,0.00%
KENDRAPARA,0.00%,0.00%,100.00%,0.00%,50.00%,50.00%,50.00%,50.00%,0.00%,0.00%,100.00%,0.00%,100.00%,100.00%,0.00%,0.00%
BARGARH,0.00%,0.00%,100.00%,5.00%,55.00%,40.00%,70.00%,10.00%,20.00%,40.00%,60.00%,30.00%,70.00%,80.00%,10.00%,10.00%
PURI,0.00%,0.00%,100.00%,3.00%,73.41%,23.59%,4.11%,84.38%,11.52%,69.85%,30.15%,5.76%,94.24%,99.82%,0.06%,0.12%
BALESHWAR,0.00%,0.00%,0.00%,0.00%,100.00%,0.00%,50.00%,50.00%,0.00%,50.00%,50.00%,0.00%,100.00%,100.00%,0.00%,0.00%
BOUDH,0.00%,0.00%,100.00%,100.00%,0.00%,0.00%,0.00%,100.00%,0.00%,0.00%,100.00%,0.00%,100.00%,0.00%,0.00%,100.00%
KORAPUT,4.01%,56.21%,39.78%,0.88%,27.99%,71.14%,65.86%,33.65%,0.49%,46.86%,53.14%,3.55%,96.45%,97.33%,2.64%,0.03%
KHORDHA,0.00%,60.00%,40.00%,0.00%,100.00%,0.00%,100.00%,0.00%,0.00%,60.00%,40.00%,0.00%,100.00%,100.00%,0.00%,0.00%
