0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,0,1,2,3,4,5,6,7,8,9,10,11,12,13
JHUNJHUNU,0.00%,0.00%,100.00%,32.08%,67.81%,0.10%,59.98%,39.33%,0.69%,1.44%,98.56%,8.63%,91.37%,0.02%,3.34%,96.64%,NICOBARS,100.00%,0.00%,100.00%,0.00%,undefined%,undefined%,undefined%,100.00%,0.00%,4.76%,95.24%,100.00%,0.00%
CHURU,0.00%,0.00%,100.00%,0.10%,47.52%,52.37%,38.91%,60.92%,0.17%,13.77%,86.23%,48.83%,51.17%,0.11%,0.32%,99.56%,SOUTH ANDAMANS,88.16%,11.84%,100.00%,0.00%,undefined%,undefined%,undefined%,99.56%,0.44%,71.49%,28.51%,99.56%,0.44%
DUNGARPUR,0.00%,0.00%,100.00%,1.95%,97.63%,0.42%,88.60%,11.12%,0.28%,60.57%,39.43%,0.51%,99.49%,0.00%,20.35%,79.65%,,,,,,,,,,,,,,
JALORE,0.00%,0.00%,100.00%,1.56%,98.44%,0.00%,56.92%,40.54%,2.54%,3.11%,96.89%,16.83%,83.17%,0.00%,0.85%,99.15%,,,,,,,,,,,,,,
UDAIPUR,0.00%,0.00%,100.00%,0.18%,98.86%,0.97%,22.64%,77.30%,0.06%,13.17%,86.83%,13.67%,86.33%,0.04%,7.70%,92.26%,,,,,,,,,,,,,,
KARAULI,0.00%,0.00%,0.00%,13.22%,86.76%,0.02%,99.93%,0.07%,0.00%,77.15%,22.85%,26.17%,73.83%,0.29%,28.63%,71.08%,,,,,,,,,,,,,,
Gangapurcity,0.00%,0.00%,0.00%,2.96%,97.04%,0.00%,99.92%,0.00%,0.08%,14.70%,85.30%,57.85%,42.15%,0.00%,64.70%,35.30%,,,,,,,,,,,,,,
BHARATPUR,0.07%,0.37%,99.55%,0.75%,99.25%,0.00%,55.59%,44.24%,0.17%,0.47%,99.53%,38.59%,61.41%,0.06%,54.06%,45.89%,,,,,,,,,,,,,,
GANGANAGAR,0.00%,0.00%,100.00%,2.43%,97.44%,0.13%,99.18%,0.05%,0.76%,0.66%,99.34%,53.75%,46.25%,0.49%,0.05%,99.46%,,,,,,,,,,,,,,
TONK,0.00%,0.00%,0.00%,11.52%,88.05%,0.43%,88.73%,11.15%,0.12%,14.28%,85.72%,34.44%,65.56%,0.12%,1.23%,98.65%,,,,,,,,,,,,,,
Dudu,0.00%,0.00%,0.00%,4.83%,94.32%,0.85%,42.70%,57.02%,0.28%,33.15%,66.85%,60.96%,39.04%,0.00%,29.21%,70.79%,,,,,,,,,,,,,,
PALI,0.00%,0.00%,0.00%,0.24%,99.60%,0.16%,99.55%,0.00%,0.45%,0.24%,99.76%,32.43%,67.57%,0.16%,2.35%,97.49%,,,,,,,,,,,,,,
PRATAPGARH,0.00%,0.00%,0.00%,25.09%,74.91%,0.00%,94.91%,3.64%,1.45%,21.53%,78.47%,98.54%,1.46%,0.00%,28.73%,71.27%,,,,,,,,,,,,,,
JAISALMER,0.00%,0.00%,100.00%,6.40%,93.55%,0.05%,90.76%,9.05%,0.18%,0.15%,99.85%,3.18%,96.82%,0.03%,0.00%,99.97%,,,,,,,,,,,,,,
Kotputli-Behror,0.00%,0.00%,0.00%,4.20%,94.91%,0.88%,77.65%,22.12%,0.22%,1.11%,98.89%,82.74%,17.26%,0.66%,22.79%,76.55%,,,,,,,,,,,,,,
RAJSAMAND,0.00%,0.00%,100.00%,0.19%,99.54%,0.28%,99.56%,0.20%,0.24%,21.79%,78.21%,44.69%,55.31%,0.05%,9.05%,90.90%,,,,,,,,,,,,,,
Beawar,0.00%,0.00%,0.00%,0.00%,100.00%,0.00%,99.60%,0.00%,0.40%,5.06%,94.94%,16.51%,83.49%,0.00%,5.33%,94.67%,,,,,,,,,,,,,,
Sanchor,0.00%,0.00%,0.00%,5.17%,94.83%,0.00%,94.83%,5.17%,0.00%,0.00%,100.00%,29.31%,70.69%,0.00%,13.79%,86.21%,,,,,,,,,,,,,,
Jaipur Gramin,0.00%,0.00%,0.00%,5.43%,93.30%,1.28%,58.93%,40.97%,0.10%,8.15%,91.85%,19.60%,80.40%,0.21%,20.02%,79.77%,,,,,,,,,,,,,,
Kekri,0.00%,0.00%,100.00%,0.00%,0.00%,100.00%,0.00%,0.00%,100.00%,100.00%,0.00%,100.00%,0.00%,100.00%,0.00%,0.00%,,,,,,,,,,,,,,
CHITTORGARH,0.00%,0.00%,100.00%,3.51%,87.90%,8.58%,54.65%,40.55%,4.80%,52.83%,47.17%,43.20%,56.80%,0.04%,12.33%,87.63%,,,,,,,,,,,,,,
SAWAI MADHOPUR,0.00%,0.00%,100.00%,0.29%,99.65%,0.06%,98.76%,1.24%,0.00%,1.71%,98.29%,78.63%,21.37%,0.00%,27.32%,72.68%,,,,,,,,,,,,,,
Deeg,0.00%,0.00%,100.00%,0.74%,99.19%,0.06%,50.09%,49.91%,0.00%,0.06%,99.94%,37.00%,63.00%,0.00%,46.24%,53.76%,,,,,,,,,,,,,,
Khairthal-Tijara,0.00%,0.00%,0.00%,0.00%,100.00%,0.00%,95.93%,4.07%,0.00%,0.00%,100.00%,0.58%,99.42%,0.00%,0.58%,99.42%,,,,,,,,,,,,,,
Neem Ka Thana,0.00%,0.00%,100.00%,28.59%,71.30%,0.11%,62.28%,36.29%,1.43%,3.61%,96.39%,11.72%,88.28%,0.00%,0.00%,100.00%,,,,,,,,,,,,,,
BARAN,0.00%,33.33%,66.67%,31.13%,67.78%,1.09%,72.62%,24.84%,2.54%,55.86%,44.14%,55.34%,44.66%,0.24%,35.35%,64.41%,,,,,,,,,,,,,,
JAIPUR,0.00%,0.00%,0.00%,4.97%,91.82%,3.21%,67.44%,31.21%,1.35%,2.58%,97.42%,18.32%,81.68%,0.08%,11.27%,88.65%,,,,,,,,,,,,,,
