0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
TENKASI,0.13%,0.18%,99.70%,35.28%,60.25%,4.47%,93.20%,6.07%,0.74%,21.02%,78.98%,34.27%,65.73%,14.37%,27.08%,58.55%
COIMBATORE,0.00%,0.15%,99.85%,0.17%,98.20%,1.63%,98.52%,1.46%,0.02%,7.61%,92.39%,20.67%,79.33%,0.28%,19.30%,80.41%
KANNIYAKUMARI,0.00%,12.24%,87.76%,40.73%,51.18%,8.09%,56.62%,26.84%,16.54%,19.12%,80.88%,11.40%,88.60%,42.19%,36.66%,21.15%
TIRUVANNAMALAI,0.14%,2.15%,97.71%,5.02%,80.81%,14.18%,61.31%,32.85%,5.83%,5.29%,94.71%,5.80%,94.20%,9.17%,47.87%,42.96%
PUDUKKOTTAI,0.02%,0.62%,99.36%,4.16%,72.15%,23.68%,35.48%,39.66%,24.86%,9.07%,90.93%,5.10%,94.90%,16.97%,65.15%,17.88%
MADURAI,0.12%,0.13%,99.75%,8.42%,82.40%,9.18%,91.27%,7.41%,1.32%,50.32%,49.68%,13.60%,86.40%,13.09%,32.58%,54.33%
TIRUPPUR,0.16%,5.65%,94.20%,0.10%,83.04%,16.86%,91.72%,7.95%,0.33%,14.24%,85.76%,6.41%,93.59%,0.06%,7.19%,92.75%
Ariyalur,0.25%,0.00%,99.75%,0.25%,99.45%,0.30%,3.40%,96.10%,0.50%,0.47%,99.53%,4.17%,95.83%,0.75%,63.69%,35.56%
PERAMBALUR,0.08%,0.04%,99.88%,0.04%,72.00%,27.96%,78.16%,13.80%,8.04%,6.20%,93.80%,4.88%,95.12%,0.36%,11.02%,88.62%
KALLAKURICHI,0.17%,1.06%,98.77%,18.23%,64.14%,17.63%,84.03%,13.68%,2.30%,31.73%,68.27%,9.37%,90.63%,9.69%,42.95%,47.36%
CHENGALPATTU,0.04%,0.00%,99.96%,4.75%,44.81%,50.44%,4.67%,33.16%,62.16%,7.21%,92.79%,1.26%,98.74%,29.19%,30.74%,40.07%
VELLORE,0.10%,0.10%,99.80%,4.27%,56.50%,39.23%,65.07%,24.49%,10.45%,30.60%,69.40%,10.27%,89.73%,3.84%,25.54%,70.62%
THE NILGIRIS,1.14%,25.82%,73.04%,37.42%,58.66%,3.92%,77.78%,15.69%,6.54%,81.86%,18.14%,1.96%,98.04%,92.97%,6.86%,0.16%
TIRUNELVELI,0.02%,9.30%,90.68%,14.77%,58.44%,26.79%,83.98%,12.83%,3.19%,47.60%,52.40%,35.89%,64.11%,20.35%,34.09%,45.56%
TUTICORIN,0.05%,0.00%,99.95%,0.97%,66.75%,32.29%,90.93%,5.93%,3.14%,16.21%,83.79%,20.01%,79.99%,3.12%,11.44%,85.45%
THANJAVUR,0.06%,0.09%,99.85%,30.56%,38.33%,31.10%,79.03%,17.76%,3.21%,22.28%,77.72%,11.32%,88.68%,4.20%,57.89%,37.90%
SIVAGANGA,0.04%,0.57%,99.38%,12.98%,67.56%,19.46%,90.22%,8.88%,0.90%,1.83%,98.17%,12.36%,87.64%,31.06%,30.29%,38.65%
RAMANATHAPURAM,0.13%,0.02%,99.85%,1.47%,73.47%,25.07%,96.99%,2.60%,0.41%,0.95%,99.05%,35.90%,64.10%,11.17%,42.19%,46.64%
THENI,0.08%,0.08%,99.84%,12.73%,80.08%,7.19%,72.30%,23.59%,4.10%,2.42%,97.58%,22.07%,77.93%,12.93%,56.72%,30.35%
TIRUCHIRAPPALLI,0.02%,0.02%,99.95%,25.19%,37.80%,37.01%,88.61%,9.78%,1.60%,0.67%,99.33%,7.35%,92.65%,4.93%,29.08%,65.99%
VIRUDHUNAGAR,0.14%,0.11%,99.74%,4.91%,30.30%,64.79%,80.01%,12.94%,7.04%,13.62%,86.38%,7.33%,92.67%,2.53%,9.95%,87.52%
KARUR,0.03%,0.28%,99.69%,11.66%,59.49%,28.85%,80.09%,16.80%,3.11%,6.59%,93.41%,14.01%,85.99%,11.19%,19.27%,69.53%
DINDIGUL,0.05%,0.99%,98.96%,1.51%,56.18%,42.31%,95.62%,3.89%,0.49%,1.15%,98.85%,13.23%,86.77%,9.08%,26.89%,64.03%
Tirupathur,0.00%,0.28%,99.72%,26.20%,67.92%,5.88%,33.80%,34.90%,31.30%,3.60%,96.40%,35.83%,64.17%,1.82%,42.35%,55.83%
Mayiladuthurai,0.06%,0.02%,99.91%,11.51%,74.01%,14.48%,87.28%,12.08%,0.64%,1.30%,98.70%,12.14%,87.86%,14.43%,68.57%,17.00%
KANCHIPURAM,0.07%,0.07%,99.85%,19.65%,74.29%,6.05%,77.15%,20.87%,1.98%,2.60%,97.40%,4.66%,95.34%,14.09%,69.43%,16.48%
THIRUVARUR,0.02%,0.00%,99.98%,17.19%,70.30%,12.50%,75.52%,13.73%,10.75%,0.58%,99.42%,12.36%,87.64%,4.13%,62.09%,33.78%
