0,1,2,3,4,5,6,7,8,9,10,11,12,13
TENKASI,95.96%,4.04%,86.47%,13.53%,undefined%,undefined%,undefined%,37.24%,62.76%,46.51%,53.49%,55.31%,44.69%
COIMBATORE,99.67%,0.33%,99.37%,0.63%,undefined%,undefined%,undefined%,57.83%,42.17%,91.67%,8.33%,57.15%,42.85%
KANNIYAKUMARI,100.00%,0.00%,94.64%,5.36%,undefined%,undefined%,undefined%,99.53%,0.47%,94.98%,5.02%,99.95%,0.05%
TIRUVANNAMALAI,99.35%,0.65%,98.98%,1.02%,undefined%,undefined%,undefined%,75.09%,24.91%,36.69%,63.31%,24.37%,75.63%
PUDUKKOTTAI,99.41%,0.59%,99.29%,0.71%,undefined%,undefined%,undefined%,59.74%,40.26%,64.81%,35.19%,99.79%,0.21%
MADURAI,99.67%,0.33%,99.93%,0.07%,undefined%,undefined%,undefined%,80.31%,19.69%,82.14%,17.86%,96.91%,3.09%
TIRUPPUR,98.69%,1.31%,88.92%,11.08%,undefined%,undefined%,undefined%,14.16%,85.84%,78.64%,21.36%,51.33%,48.67%
Ariyalur,99.90%,0.10%,99.88%,0.13%,undefined%,undefined%,undefined%,97.00%,3.00%,44.77%,55.23%,81.49%,18.51%
PERAMBALUR,99.96%,0.04%,99.52%,0.48%,undefined%,undefined%,undefined%,20.24%,79.76%,48.68%,51.32%,82.82%,17.18%
KALLAKURICHI,94.94%,5.06%,91.12%,8.88%,undefined%,undefined%,undefined%,80.53%,19.47%,52.93%,47.07%,87.90%,12.10%
CHENGALPATTU,94.21%,5.79%,73.26%,26.74%,undefined%,undefined%,undefined%,4.62%,95.38%,67.02%,32.98%,10.96%,89.04%
VELLORE,92.46%,7.54%,79.15%,20.85%,undefined%,undefined%,undefined%,17.51%,82.49%,52.86%,47.14%,9.34%,90.66%
THE NILGIRIS,97.39%,2.61%,99.51%,0.49%,undefined%,undefined%,undefined%,79.08%,20.92%,76.31%,23.69%,75.83%,24.17%
TIRUNELVELI,98.43%,1.57%,57.65%,42.35%,undefined%,undefined%,undefined%,77.74%,22.26%,82.49%,17.51%,87.12%,12.88%
TUTICORIN,97.48%,2.52%,94.92%,5.08%,undefined%,undefined%,undefined%,21.05%,78.95%,29.42%,70.58%,94.82%,5.18%
THANJAVUR,95.64%,4.36%,99.30%,0.70%,undefined%,undefined%,undefined%,98.96%,1.04%,17.83%,82.17%,96.14%,3.86%
SIVAGANGA,97.29%,2.71%,95.93%,4.07%,undefined%,undefined%,undefined%,94.17%,5.83%,8.17%,91.83%,98.64%,1.36%
RAMANATHAPURAM,99.95%,0.05%,99.92%,0.08%,undefined%,undefined%,undefined%,98.86%,1.14%,0.79%,99.21%,99.72%,0.28%
THENI,99.49%,0.51%,98.63%,1.37%,undefined%,undefined%,undefined%,55.59%,44.41%,33.83%,66.17%,77.70%,22.30%
TIRUCHIRAPPALLI,99.57%,0.43%,99.82%,0.18%,undefined%,undefined%,undefined%,77.77%,22.23%,90.06%,9.94%,95.72%,4.28%
VIRUDHUNAGAR,85.65%,14.35%,85.58%,14.42%,undefined%,undefined%,undefined%,10.59%,89.41%,17.73%,82.27%,95.00%,5.00%
KARUR,95.13%,4.87%,98.89%,1.11%,undefined%,undefined%,undefined%,35.37%,64.63%,40.50%,59.50%,69.26%,30.74%
DINDIGUL,99.89%,0.11%,60.56%,39.44%,undefined%,undefined%,undefined%,74.15%,25.85%,98.05%,1.95%,90.00%,10.00%
Tirupathur,95.96%,4.04%,93.08%,6.92%,undefined%,undefined%,undefined%,21.73%,78.27%,51.53%,48.47%,17.92%,82.08%
Mayiladuthurai,93.21%,6.79%,99.49%,0.51%,undefined%,undefined%,undefined%,96.19%,3.81%,76.65%,23.35%,81.46%,18.54%
KANCHIPURAM,93.48%,6.52%,84.80%,15.20%,undefined%,undefined%,undefined%,31.15%,68.85%,69.64%,30.36%,70.59%,29.41%
THIRUVARUR,96.33%,3.67%,31.33%,68.67%,undefined%,undefined%,undefined%,97.26%,2.74%,19.98%,80.02%,75.77%,24.23%
DHARMAPURI,86.18%,13.82%,99.96%,0.04%,undefined%,undefined%,undefined%,38.17%,61.83%,55.85%,44.15%,70.12%,29.88%
CUDDALORE,99.86%,0.14%,98.65%,1.35%,undefined%,undefined%,undefined%,96.16%,3.84%,73.73%,26.27%,99.19%,0.81%
KRISHNAGIRI,99.13%,0.87%,99.54%,0.46%,undefined%,undefined%,undefined%,89.37%,10.63%,80.95%,19.05%,97.31%,2.69%
NAGAPATTINAM,99.44%,0.56%,100.00%,0.00%,undefined%,undefined%,undefined%,99.82%,0.18%,70.05%,29.95%,99.81%,0.19%
NAMAKKAL,97.19%,2.81%,84.66%,15.34%,undefined%,undefined%,undefined%,19.63%,80.37%,35.73%,64.27%,72.46%,27.54%
Ranipet,99.09%,0.91%,89.44%,10.56%,undefined%,undefined%,undefined%,6.72%,93.28%,84.35%,15.65%,26.22%,73.78%
THIRUVALLUR,96.17%,3.83%,94.82%,5.18%,undefined%,undefined%,undefined%,30.76%,69.24%,74.15%,25.85%,25.40%,74.60%
VILLUPURAM,99.28%,0.72%,59.34%,40.66%,undefined%,undefined%,undefined%,41.27%,58.73%,59.84%,40.16%,65.91%,34.09%
SALEM,99.96%,0.04%,99.95%,0.05%,undefined%,undefined%,undefined%,99.58%,0.42%,75.40%,24.60%,99.91%,0.09%
ERODE,95.76%,4.24%,99.88%,0.12%,undefined%,undefined%,undefined%,33.84%,66.16%,53.35%,46.65%,53.33%,46.67%
