0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,0,1,2,3,4,5,6,7,8,9,10,11,12,13
TENKASI,0.13%,0.18%,99.70%,35.28%,60.25%,4.47%,93.20%,6.07%,0.74%,21.02%,78.98%,34.27%,65.73%,14.37%,27.08%,58.55%,TENKASI,95.96%,4.04%,86.47%,13.53%,undefined%,undefined%,undefined%,37.24%,62.76%,46.51%,53.49%,55.31%,44.69%
COIMBATORE,0.00%,0.15%,99.85%,0.17%,98.20%,1.63%,98.52%,1.46%,0.02%,7.61%,92.39%,20.67%,79.33%,0.28%,19.30%,80.41%,COIMBATORE,99.67%,0.33%,99.37%,0.63%,undefined%,undefined%,undefined%,57.83%,42.17%,91.67%,8.33%,57.15%,42.85%
KANNIYAKUMARI,0.00%,12.24%,87.76%,40.73%,51.18%,8.09%,56.62%,26.84%,16.54%,19.12%,80.88%,11.40%,88.60%,42.19%,36.66%,21.15%,KANNIYAKUMARI,100.00%,0.00%,94.64%,5.36%,undefined%,undefined%,undefined%,99.53%,0.47%,94.98%,5.02%,99.95%,0.05%
TIRUVANNAMALAI,0.14%,2.15%,97.71%,5.02%,80.81%,14.18%,61.31%,32.85%,5.83%,5.29%,94.71%,5.80%,94.20%,9.17%,47.87%,42.96%,TIRUVANNAMALAI,99.35%,0.65%,98.98%,1.02%,undefined%,undefined%,undefined%,75.09%,24.91%,36.69%,63.31%,24.37%,75.63%
PUDUKKOTTAI,0.02%,0.62%,99.36%,4.16%,72.15%,23.68%,35.48%,39.66%,24.86%,9.07%,90.93%,5.10%,94.90%,16.97%,65.15%,17.88%,PUDUKKOTTAI,99.41%,0.59%,99.29%,0.71%,undefined%,undefined%,undefined%,59.74%,40.26%,64.81%,35.19%,99.79%,0.21%
MADURAI,0.12%,0.13%,99.75%,8.42%,82.40%,9.18%,91.27%,7.41%,1.32%,50.32%,49.68%,13.60%,86.40%,13.09%,32.58%,54.33%,MADURAI,99.67%,0.33%,99.93%,0.07%,undefined%,undefined%,undefined%,80.31%,19.69%,82.14%,17.86%,96.91%,3.09%
TIRUPPUR,0.16%,5.65%,94.20%,0.10%,83.04%,16.86%,91.72%,7.95%,0.33%,14.24%,85.76%,6.41%,93.59%,0.06%,7.19%,92.75%,TIRUPPUR,98.69%,1.31%,88.92%,11.08%,undefined%,undefined%,undefined%,14.16%,85.84%,78.64%,21.36%,51.33%,48.67%
Ariyalur,0.25%,0.00%,99.75%,0.25%,99.45%,0.30%,3.40%,96.10%,0.50%,0.47%,99.53%,4.17%,95.83%,0.75%,63.69%,35.56%,Ariyalur,99.90%,0.10%,99.88%,0.13%,undefined%,undefined%,undefined%,97.00%,3.00%,44.77%,55.23%,81.49%,18.51%
PERAMBALUR,0.08%,0.04%,99.88%,0.04%,72.00%,27.96%,78.16%,13.80%,8.04%,6.20%,93.80%,4.88%,95.12%,0.36%,11.02%,88.62%,PERAMBALUR,99.96%,0.04%,99.52%,0.48%,undefined%,undefined%,undefined%,20.24%,79.76%,48.68%,51.32%,82.82%,17.18%
KALLAKURICHI,0.17%,1.06%,98.77%,18.23%,64.14%,17.63%,84.03%,13.68%,2.30%,31.73%,68.27%,9.37%,90.63%,9.69%,42.95%,47.36%,KALLAKURICHI,94.94%,5.06%,91.12%,8.88%,undefined%,undefined%,undefined%,80.53%,19.47%,52.93%,47.07%,87.90%,12.10%
CHENGALPATTU,0.04%,0.00%,99.96%,4.75%,44.81%,50.44%,4.67%,33.16%,62.16%,7.21%,92.79%,1.26%,98.74%,29.19%,30.74%,40.07%,CHENGALPATTU,94.21%,5.79%,73.26%,26.74%,undefined%,undefined%,undefined%,4.62%,95.38%,67.02%,32.98%,10.96%,89.04%
VELLORE,0.10%,0.10%,99.80%,4.27%,56.50%,39.23%,65.07%,24.49%,10.45%,30.60%,69.40%,10.27%,89.73%,3.84%,25.54%,70.62%,VELLORE,92.46%,7.54%,79.15%,20.85%,undefined%,undefined%,undefined%,17.51%,82.49%,52.86%,47.14%,9.34%,90.66%
