0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
ETAH,0.08%,15.96%,83.96%,1.40%,89.85%,8.75%,55.48%,41.40%,3.13%,16.08%,83.92%,99.98%,0.02%,0.08%,16.03%,83.89%
SONBHADRA,0.15%,0.22%,99.63%,0.92%,87.83%,11.25%,94.80%,4.60%,0.60%,16.46%,83.54%,90.57%,9.43%,5.05%,91.37%,3.58%
KANPUR NAGAR,0.02%,0.00%,99.98%,0.05%,89.38%,10.57%,20.77%,62.12%,17.12%,2.18%,97.82%,98.63%,1.37%,0.02%,0.28%,99.70%
BAHRAICH,0.05%,0.01%,99.94%,0.38%,89.77%,9.85%,16.93%,80.51%,2.56%,6.81%,93.19%,55.67%,44.33%,0.06%,61.85%,38.10%
BHADOHI,0.00%,0.00%,100.00%,0.00%,47.93%,52.07%,80.13%,19.87%,0.00%,0.10%,99.90%,0.23%,99.77%,0.00%,68.33%,31.67%
KUSHI NAGAR,0.19%,0.04%,99.77%,0.74%,78.63%,20.63%,18.86%,79.88%,1.26%,22.12%,77.88%,59.92%,40.08%,0.89%,57.50%,41.61%
MAU,0.06%,0.07%,99.87%,0.50%,76.17%,23.33%,17.13%,82.41%,0.46%,0.91%,99.09%,98.35%,1.65%,0.02%,19.03%,80.95%
KHERI,0.19%,0.02%,99.79%,0.34%,87.04%,12.61%,59.92%,39.30%,0.78%,2.23%,97.77%,99.69%,0.31%,0.19%,50.16%,49.65%
SHAHJAHANPUR,0.06%,0.01%,99.93%,0.10%,66.42%,33.48%,43.33%,56.40%,0.27%,1.44%,98.56%,62.02%,37.98%,0.03%,61.43%,38.54%
UNNAO,0.19%,0.00%,99.81%,0.98%,92.97%,6.05%,85.18%,12.46%,2.36%,21.98%,78.02%,81.17%,18.83%,0.11%,19.75%,80.13%
SAMBHAL,0.20%,0.04%,99.76%,0.33%,83.87%,15.80%,60.53%,32.88%,6.59%,27.98%,72.02%,46.24%,53.76%,0.12%,71.03%,28.85%
BIJNOR,0.27%,0.06%,99.67%,0.24%,66.12%,33.64%,34.79%,62.26%,2.95%,10.51%,89.49%,83.44%,16.56%,0.09%,52.72%,47.19%
BALRAMPUR,0.06%,0.04%,99.91%,0.28%,78.98%,20.74%,11.91%,86.61%,1.48%,14.26%,85.74%,12.48%,87.52%,0.91%,73.17%,25.93%
GORAKHPUR,0.12%,0.01%,99.88%,0.12%,72.52%,27.36%,16.77%,81.96%,1.27%,27.57%,72.42%,25.32%,74.68%,0.12%,90.53%,9.36%
SAHARANPUR,0.09%,0.02%,99.89%,1.92%,82.26%,15.82%,14.11%,77.80%,8.09%,6.45%,93.55%,37.45%,62.55%,0.32%,71.70%,27.98%
CHANDAULI,0.15%,0.00%,99.85%,0.09%,45.37%,54.54%,30.06%,68.81%,1.13%,1.48%,98.52%,4.81%,95.19%,10.50%,63.56%,25.94%
MATHURA,0.08%,0.02%,99.90%,1.12%,96.47%,2.42%,51.96%,43.79%,4.25%,25.83%,74.17%,60.21%,39.79%,0.15%,15.36%,84.49%
BUDAUN,0.03%,0.01%,99.96%,0.47%,79.66%,19.88%,15.46%,63.43%,21.11%,6.45%,93.55%,47.29%,52.71%,0.13%,76.41%,23.45%
RAE BARELI,0.12%,0.00%,99.88%,0.23%,49.69%,50.07%,67.43%,28.72%,3.85%,14.18%,85.82%,71.88%,28.12%,0.45%,21.37%,78.18%
KANNAUJ,0.06%,0.00%,99.94%,0.15%,93.56%,6.29%,21.17%,77.50%,1.33%,15.40%,84.60%,77.35%,22.65%,2.81%,56.90%,40.29%
HAPUR,0.05%,10.55%,89.40%,0.10%,85.45%,14.45%,27.60%,71.30%,1.10%,10.65%,89.35%,1.30%,98.70%,0.10%,70.59%,29.31%
ALIGARH,0.05%,5.30%,94.65%,0.15%,42.18%,57.67%,4.57%,46.27%,49.17%,5.62%,94.38%,22.42%,77.58%,0.20%,9.25%,90.55%
BAREILLY,0.17%,0.01%,99.82%,0.69%,55.39%,43.92%,19.96%,75.50%,4.54%,2.80%,97.20%,60.77%,39.23%,0.19%,71.76%,28.06%
HAMIRPUR,0.03%,0.00%,99.97%,0.09%,89.29%,10.63%,25.91%,71.00%,3.09%,7.94%,92.06%,48.03%,51.97%,0.34%,67.25%,32.41%
AMROHA,0.13%,0.03%,99.83%,1.07%,75.10%,23.83%,16.87%,71.60%,11.53%,20.53%,79.47%,77.73%,22.27%,0.20%,92.02%,7.78%
MAHARAJGANJ,0.15%,0.01%,99.83%,0.36%,65.97%,33.67%,34.39%,63.72%,1.89%,55.02%,44.98%,63.72%,36.28%,0.10%,82.25%,17.65%
BALLIA,0.02%,0.00%,99.98%,0.07%,77.23%,22.70%,17.78%,82.03%,0.19%,6.36%,93.64%,22.86%,77.14%,0.05%,51.71%,48.24%
GHAZIABAD,0.05%,13.06%,86.89%,0.30%,76.05%,23.65%,46.15%,53.25%,0.60%,14.81%,85.19%,95.60%,4.40%,0.10%,59.60%,40.30%
AZAMGARH,0.02%,0.06%,99.92%,0.28%,69.39%,30.33%,30.39%,68.74%,0.86%,0.34%,99.66%,67.79%,32.21%,0.04%,60.91%,39.05%
FARRUKHABAD,0.00%,0.00%,100.00%,0.34%,99.37%,0.29%,25.28%,74.26%,0.46%,0.37%,99.63%,99.89%,0.11%,0.03%,63.87%,36.10%
AURAIYA,0.43%,0.00%,99.57%,0.57%,99.00%,0.43%,21.48%,77.93%,0.60%,3.24%,96.76%,23.79%,76.21%,0.05%,45.73%,54.23%
BAGHPAT,0.17%,5.73%,94.10%,0.03%,59.20%,40.77%,34.63%,59.50%,5.87%,6.53%,93.47%,25.87%,74.13%,0.00%,31.70%,68.30%
