0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
CHAMPAWAT,0.00%,0.00%,100.00%,2.79%,86.36%,10.86%,75.64%,23.86%,0.50%,99.71%,0.29%,0.36%,99.64%,94.36%,5.50%,0.14%
ALMORA,0.00%,0.00%,100.00%,0.39%,40.43%,59.18%,86.62%,12.51%,0.87%,90.34%,9.66%,5.07%,94.93%,32.21%,66.49%,1.30%
TEHRI GARHWAL,0.00%,0.00%,100.00%,15.92%,75.13%,8.95%,88.79%,10.81%,0.41%,96.44%,3.56%,0.00%,100.00%,15.63%,65.43%,18.94%
HARIDWAR,0.00%,0.00%,100.00%,1.90%,81.44%,16.67%,60.47%,31.39%,8.14%,55.85%,44.15%,43.57%,56.43%,0.46%,59.59%,39.95%
UTTAR KASHI,0.00%,0.00%,100.00%,0.52%,85.22%,14.26%,48.87%,39.27%,11.86%,96.27%,3.73%,2.46%,97.54%,17.04%,80.50%,2.46%
PITHORAGARH,0.00%,0.00%,100.00%,0.09%,74.00%,25.92%,50.55%,42.85%,6.60%,99.24%,0.76%,0.55%,99.45%,61.39%,33.90%,4.71%
CHAMOLI,0.00%,0.00%,100.00%,11.52%,86.04%,2.44%,66.06%,33.83%,0.11%,99.38%,0.62%,17.25%,82.75%,0.40%,98.98%,0.62%
BAGESHWAR,0.00%,16.67%,83.33%,1.80%,80.66%,17.54%,49.81%,43.51%,6.68%,95.44%,4.56%,2.44%,97.56%,10.16%,60.34%,29.50%
PAURI GARHWAL,0.00%,0.00%,100.00%,29.86%,40.19%,29.95%,40.75%,29.44%,29.80%,65.70%,34.30%,9.67%,90.33%,26.61%,55.31%,18.08%
NAINITAL,0.00%,0.00%,100.00%,0.56%,59.36%,40.08%,73.74%,24.86%,1.40%,94.68%,5.32%,1.08%,98.92%,9.52%,66.60%,23.88%
DEHRADUN,7.14%,0.00%,92.86%,27.19%,68.15%,4.66%,46.43%,41.35%,12.22%,97.71%,2.29%,0.10%,99.90%,55.80%,41.47%,2.73%
UDAM SINGH NAGAR,0.00%,0.00%,100.00%,1.48%,79.78%,18.74%,7.23%,43.53%,49.25%,34.26%,65.74%,99.94%,0.06%,0.02%,9.74%,90.24%
RUDRA PRAYAG,0.00%,0.00%,100.00%,0.22%,99.78%,0.00%,91.35%,8.50%,0.15%,96.75%,3.25%,0.44%,99.56%,26.98%,67.63%,5.40%
