0,1,2,3,4,5,6,7,8,9,10,11,12,13
CHAMPAWAT,99.93%,0.07%,99.64%,0.36%,undefined%,undefined%,undefined%,99.43%,0.57%,97.71%,2.29%,99.71%,0.29%
ALMORA,84.93%,15.07%,96.76%,3.24%,undefined%,undefined%,undefined%,98.21%,1.79%,93.34%,6.66%,72.49%,27.51%
TEHRI GARHWAL,95.95%,4.05%,78.97%,21.03%,undefined%,undefined%,undefined%,69.53%,30.47%,64.64%,35.36%,74.63%,25.37%
HARIDWAR,91.43%,8.57%,93.34%,6.66%,undefined%,undefined%,undefined%,80.18%,19.82%,74.92%,25.08%,77.44%,22.56%
UTTAR KASHI,97.24%,2.76%,99.01%,0.99%,undefined%,undefined%,undefined%,94.61%,5.39%,89.22%,10.78%,81.08%,18.92%
PITHORAGARH,99.77%,0.23%,96.92%,3.08%,undefined%,undefined%,undefined%,97.82%,2.18%,94.74%,5.26%,82.17%,17.83%
CHAMOLI,99.20%,0.80%,99.89%,0.11%,undefined%,undefined%,undefined%,80.48%,19.52%,95.18%,4.82%,98.81%,1.19%
BAGESHWAR,99.68%,0.32%,99.83%,0.17%,undefined%,undefined%,undefined%,98.37%,1.63%,97.24%,2.76%,99.19%,0.81%
PAURI GARHWAL,88.87%,11.13%,97.82%,2.18%,undefined%,undefined%,undefined%,72.04%,27.96%,88.01%,11.99%,70.96%,29.04%
NAINITAL,85.45%,14.55%,99.84%,0.16%,undefined%,undefined%,undefined%,99.56%,0.44%,79.58%,20.42%,97.00%,3.00%
DEHRADUN,99.98%,0.02%,98.25%,1.75%,undefined%,undefined%,undefined%,99.78%,0.22%,99.31%,0.69%,96.09%,3.91%
UDAM SINGH NAGAR,99.37%,0.63%,97.09%,2.91%,undefined%,undefined%,undefined%,97.51%,2.49%,88.17%,11.83%,97.28%,2.72%
RUDRA PRAYAG,97.41%,2.59%,99.19%,0.81%,undefined%,undefined%,undefined%,54.03%,45.97%,98.97%,1.03%,99.41%,0.59%
