0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,0,1,2,3,4,5,6,7,8,9,10,11,12,13
CHAMPAWAT,0.00%,0.00%,100.00%,2.79%,86.36%,10.86%,75.64%,23.86%,0.50%,99.71%,0.29%,0.36%,99.64%,94.36%,5.50%,0.14%,CHAMPAWAT,99.93%,0.07%,99.64%,0.36%,undefined%,undefined%,undefined%,99.43%,0.57%,97.71%,2.29%,99.71%,0.29%
ALMORA,0.00%,0.00%,100.00%,0.39%,40.43%,59.18%,86.62%,12.51%,0.87%,90.34%,9.66%,5.07%,94.93%,32.21%,66.49%,1.30%,ALMORA,84.93%,15.07%,96.76%,3.24%,undefined%,undefined%,undefined%,98.21%,1.79%,93.34%,6.66%,72.49%,27.51%
TEHRI GARHWAL,0.00%,0.00%,100.00%,15.92%,75.13%,8.95%,88.79%,10.81%,0.41%,96.44%,3.56%,0.00%,100.00%,15.63%,65.43%,18.94%,TEHRI GARHWAL,95.95%,4.05%,78.97%,21.03%,undefined%,undefined%,undefined%,69.53%,30.47%,64.64%,35.36%,74.63%,25.37%
HARIDWAR,0.00%,0.00%,100.00%,1.90%,81.44%,16.67%,60.47%,31.39%,8.14%,55.85%,44.15%,43.57%,56.43%,0.46%,59.59%,39.95%,HARIDWAR,91.43%,8.57%,93.34%,6.66%,undefined%,undefined%,undefined%,80.18%,19.82%,74.92%,25.08%,77.44%,22.56%
UTTAR KASHI,0.00%,0.00%,100.00%,0.52%,85.22%,14.26%,48.87%,39.27%,11.86%,96.27%,3.73%,2.46%,97.54%,17.04%,80.50%,2.46%,UTTAR KASHI,97.24%,2.76%,99.01%,0.99%,undefined%,undefined%,undefined%,94.61%,5.39%,89.22%,10.78%,81.08%,18.92%
PITHORAGARH,0.00%,0.00%,100.00%,0.09%,74.00%,25.92%,50.55%,42.85%,6.60%,99.24%,0.76%,0.55%,99.45%,61.39%,33.90%,4.71%,PITHORAGARH,99.77%,0.23%,96.92%,3.08%,undefined%,undefined%,undefined%,97.82%,2.18%,94.74%,5.26%,82.17%,17.83%
CHAMOLI,0.00%,0.00%,100.00%,11.52%,86.04%,2.44%,66.06%,33.83%,0.11%,99.38%,0.62%,17.25%,82.75%,0.40%,98.98%,0.62%,CHAMOLI,99.20%,0.80%,99.89%,0.11%,undefined%,undefined%,undefined%,80.48%,19.52%,95.18%,4.82%,98.81%,1.19%
BAGESHWAR,0.00%,16.67%,83.33%,1.80%,80.66%,17.54%,49.81%,43.51%,6.68%,95.44%,4.56%,2.44%,97.56%,10.16%,60.34%,29.50%,BAGESHWAR,99.68%,0.32%,99.83%,0.17%,undefined%,undefined%,undefined%,98.37%,1.63%,97.24%,2.76%,99.19%,0.81%
PAURI GARHWAL,0.00%,0.00%,100.00%,29.86%,40.19%,29.95%,40.75%,29.44%,29.80%,65.70%,34.30%,9.67%,90.33%,26.61%,55.31%,18.08%,PAURI GARHWAL,88.87%,11.13%,97.82%,2.18%,undefined%,undefined%,undefined%,72.04%,27.96%,88.01%,11.99%,70.96%,29.04%
NAINITAL,0.00%,0.00%,100.00%,0.56%,59.36%,40.08%,73.74%,24.86%,1.40%,94.68%,5.32%,1.08%,98.92%,9.52%,66.60%,23.88%,NAINITAL,85.45%,14.55%,99.84%,0.16%,undefined%,undefined%,undefined%,99.56%,0.44%,79.58%,20.42%,97.00%,3.00%
DEHRADUN,7.14%,0.00%,92.86%,27.19%,68.15%,4.66%,46.43%,41.35%,12.22%,97.71%,2.29%,0.10%,99.90%,55.80%,41.47%,2.73%,DEHRADUN,99.98%,0.02%,98.25%,1.75%,undefined%,undefined%,undefined%,99.78%,0.22%,99.31%,0.69%,96.09%,3.91%
UDAM SINGH NAGAR,0.00%,0.00%,100.00%,1.48%,79.78%,18.74%,7.23%,43.53%,49.25%,34.26%,65.74%,99.94%,0.06%,0.02%,9.74%,90.24%,UDAM SINGH NAGAR,99.37%,0.63%,97.09%,2.91%,undefined%,undefined%,undefined%,97.51%,2.49%,88.17%,11.83%,97.28%,2.72%
RUDRA PRAYAG,0.00%,0.00%,100.00%,0.22%,99.78%,0.00%,91.35%,8.50%,0.15%,96.75%,3.25%,0.44%,99.56%,26.98%,67.63%,5.40%,RUDRA PRAYAG,97.41%,2.59%,99.19%,0.81%,undefined%,undefined%,undefined%,54.03%,45.97%,98.97%,1.03%,99.41%,0.59%
