"Country ofNationality","Arrivals(in numbers)","1st quarter(Jan-March)","2nd quarter(Apr-June)","3rd quarter(July-Sep)","4th quarter(Oct-Dec)",2.4 MODE OF TRAVEL OF FTAs IN INDIA,Table Name,YEAR,ARRIVELS,Gender Distribution (%),Unnamed: 0,Unnamed: 1,Country of Nationality,Total (In Numbers),Female,Male,"Total (InNumber)",0-14,15-24,25-34,35-44,45-54,55-64,"65 AndAbove",2.8 FTAs IN INDIA ACCORDING TO PURPOSE,"Arrivals(innumbers)","BusinessandProfessional","IndianDiaspora","LeisureHolidayandRecreation",Medical,Student,Others,"Businessandrofessional",Purpose,Visa Type,2.9       AVERAGE DURATION OF STAY OF FOREIGN TOURIST ARRIVALS IN INDIA,Total (in numbers),"Average Durationof stay (in days)","Total (innumbers)","0-1Days","2-3Days","4-7Days","1-2Weeks","2-4Weeks",">1Month","NotKnown",2.10 TOP 15 SOURCE COUNTRIES FOR FTAs IN INDIA,Rank,Country,"FTAs inIndia in2020","%Sharein 2020",Rank.1,Country.1,"FTAs inIndia in2021","%Sharein 2021"
North America,,,,,,,Table 2.3.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Canada,80437.0,20.7,5.9,11.9,61.4,,Table 2.3.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"United StatesOf America",429860.0,16.0,9.5,20.2,54.2,,Table 2.3.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Others,2.0,0.0,0.0,50.0,50.0,,Table 2.3.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total,510299.0,16.7,9.0,18.9,55.4,,Table 2.3.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Central and South America,,,,,,,Table 2.3.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Argentina,530.0,22.6,10.4,20.0,47.0,,Table 2.3.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Brazil,2055.0,28.7,14.1,19.7,37.5,,Table 2.3.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mexico,859.0,22.1,13.3,20.0,44.6,,Table 2.3.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Others,3354.0,22.3,11.3,18.9,47.5,,Table 2.3.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total,6798.0,24.2,12.3,19.4,44.1,,Table 2.3.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Western Europe,,,,,,,Table 2.3.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Austria,4411.0,23.0,9.1,22.2,45.7,,Table 2.3.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Belgium,7382.0,18.6,9.1,26.2,46.0,,Table 2.3.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Denmark,2025.0,17.6,6.4,26.2,49.8,,Table 2.3.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Finland,1329.0,15.9,8.1,17.2,58.8,,Table 2.3.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
France,30374.0,20.7,11.8,29.1,38.4,,Table 2.3.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Germany,33772.0,22.3,9.8,23.4,44.5,,Table 2.3.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Greece,1144.0,23.6,18.7,18.3,39.4,,Table 2.3.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ireland,7600.0,16.2,8.4,21.6,53.8,,Table 2.3.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Italy,13659.0,24.8,9.0,16.6,49.6,,Table 2.3.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Netherlands,15631.0,20.2,13.0,23.4,43.4,,Table 2.3.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Norway,2790.0,15.7,7.5,16.6,60.2,,Table 2.3.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Portugal,32064.0,24.7,13.0,19.4,43.0,,Table 2.3.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Spain,6982.0,24.3,10.2,21.2,44.3,,Table 2.3.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sweden,5579.0,14.5,7.8,18.4,59.2,,Table 2.3.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Switzerland,4198.0,17.4,8.5,21.0,53.1,,Table 2.3.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
United Kingdom,164143.0,14.5,5.3,23.1,57.1,,Table 2.3.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Others,1767.0,23.3,12.8,22.4,41.5,,Table 2.3.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total,334850.0,18.1,8.1,22.9,50.9,,Table 2.3.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Eastern Europe,,,,,,,Table 2.3.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Czech,983.0,29.8,8.4,25.4,36.3,,Table 2.3.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hungury,653.0,22.4,9.6,22.2,45.8,,Table 2.3.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kazakhstan,2378.0,9.1,4.7,6.7,79.5,,Table 2.3.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Poland,2461.0,20.3,14.9,22.5,42.3,,Table 2.3.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Russian Federation,17567.0,16.3,12.0,21.4,50.3,,Table 2.3.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ukraine,5197.0,22.1,12.6,23.0,42.3,,Table 2.3.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Others,13875.0,26.4,15.8,20.7,37.1,,Table 2.3.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
